Project/Issue Number,Title,Body,Original Labels,Qwen Full Label List,Qwen RAG labels only k=7,Qwen RAG labeled issue reports k=19,Gemma Full Label List,Gemma RAG labels only k=6,Gemma RAG labeled issue reports k=2,Llama Full Label List,Llama labels only k=6,Llama labeled issue reports k=2,LLM assigned labels are better?,LLM assigned labels are the same or better?
spring-projects/spring-boot/44892,Use ResolvedBom as a source for AntoraAsciidocAttributes,Forward port of issue #44891 to 3.4.x.,['type: task'],['type: enhancement'],['type: task'],['type: task'],"['type: bug', 'type: dependency-upgrade']",['type: task'],['type: task'],"['type: enhancement', 'type: documentation']",[],['type: task'],1,1
microsoft/vscode/243359,[Accessibility] Improve Alertability within Copilot Edits,"
Type: <b>Feature Request</b>

CC @meganrogge 

In Copilot Edits (in agent mode), there are some situations where users are prompted to choose the next actions.  For examples:

* Whether to continue to execute the command in terminal (this requires users' immediate gesture for the next step)

* Whether to keep the current Copilot Edits in the pending editors (does not require immediate users' attention, but this needs to be resolved before they end the current Copilot Edits session)

* Whether to finish the current Copilot Edits session (Users needd to click ""Done"" button)

The current issue is that these prompts are not easily noticeable  for screen reader users unless they read through the Copilot response carefully.

Is there any way to make them displayed in the Notification area such that users can hear the alert more clearly and take any required actions there?

VS Code version: Code - Insiders 1.99.0-insider (c1fb4c3983bcc28e63dd159dbbb2ea98d352d33e, 2025-03-12T08:28:07.410Z)
OS version: Windows_NT x64 10.0.26100
Modes:


","['feature-request', 'accessibility', 'insiders-released', 'chat']","['accessibility', 'workbench-notifications']","['feature-request', 'accessibility', 'workbench-copilot']","['feature-request', 'accessibility', 'insiders-released', 'inline-chat', 'workbench-voice']","['accessibility', 'a11ymas', 'accessibility-signal']","['feature-request', 'accessibility', 'workbench-copilot']",[],"['a11y-partner', 'accessibility', 'accessibility-signal', 'agent-behavior', 'chat-agent-editing', 'feature-request']","['feature-request', 'accessibility']","['feature-request', 'accessibility', 'insiders-released']",0,1
elastic/elasticsearch/122343,[CI] DocsClientYamlTestSuiteIT test {yaml=reference/alias/line_260} failing,"**Build Scans:**
- [elasticsearch-periodic-platform-support #6898 / rhel-9_platform-support-unix](<URL>
- [elasticsearch-periodic #6863 / graalvm-ce17_checkpart1_java-matrix](<URL>

**Reproduction Line:**
```This command runs a specific test case using Gradle for the Elasticsearch project. It targets the `yamlRestTest` task in the `docs` module and executes `test` from `DocsClientYamlTestSuiteIT` with the specified YAML file path. Additional flags set the test seed, locale, timezone, and Java runtime version.```

**Applicable branches:**
8.18

**Reproduces locally?:**
N/A

**Failure History:**
[See dashboard](<URL>

**Failure Message:**
```The log indicates an `AssertionError` with a failure at line 282 of the reference/alias file. The error message mentions an unexpected warning about accessing system indices (`.security-7`) in Elasticsearch version 8.18.0, with a note that such direct access will be prevented by default in a future major version.```

**Issue Reasons:**
- [8.18] 2 failures in test test {yaml=reference/alias/line_260} (1.2% fail rate in 167 executions)

**Note:**
This issue was created using new test triage automation. Please report issues or feedback to es-delivery.","[':Delivery/Build', '>test-failure', 'Team:Delivery', 'low-risk']",['>test-failure'],[],"['>test-failure', ':Data Management/Data streams', 'Team:Data Management', 'low-risk']",[],[],[],"['>bug', '>regression']","[':Data Management/Data streams', 'low-risk']",[],0,1
spring-projects/spring-framework/34360,Quartz-style Nth Day of Week cron expressions can overflow to other month,"## The issue

We are experiencing a weird issue with Cron Expressions. We are using the `@Scheduled` annotation to run scheduled jobs every monday.

We have a use case where we want to run a schedule differently if it is the first Monday of the month, which is why we split our schedules up into 2 CRON expressions, using the ""day of week"" notation ([documented here](<URL>


1. `0 0 8 ? * MON#1` - run every first Monday of the month
2.  `0 0 8 ? * MON#2,MON#3,MON#4,MON#5` - run on all other Mondays of the month

This worked fine until we observed weird behavior today on Monday the 3rd February 2025. The second CRON expression fired even though it should not fire on the first Monday of a month.

I run a test for the next 10000 invocations and these are the 10 dates that this unexpected overlap will happen next:

```The code snippet is a list of 12 `OffsetDateTime` objects in Java, each representing a date and time in the format `YYYY-MM-DDTHH:mmZ`. All times are set to 08:00Z (UTC). The dates span from February 3, 2025, to February 4, 2047.```

## Conclusion

It seems as if the _day of week_ expression (e.g. `MON#5`) overflows **only** from January to February in the years where January has less than 5 Mondays. (This is why 31.1.2028 is not up there for example).


## Reproduction
This can be reproduced with spring-context-6.2.2 with following test case:

 ```This Java test case ensures that two cron expressions do not overlap within a specified number of invocations. It uses the `CronExpression` class from Spring to parse and schedule cron expressions, then checks for overlapping times between the two schedules.```
","['type: bug', 'in: core']",['type: bug'],"['type: bug', 'in: core']",[],"['in: core', 'type: bug', 'type: regression']","['type: bug', 'type: regression', 'in: core']","['type: bug', 'in: core']","['type: bug', 'in: core', 'theme: aot']","['type: bug', 'in: core']","['type: documentation', 'in: core']",0,1
pytorch/pytorch/142050,dynamo doesn't support inlining custom methods on enums,"Found from @kwen2501 's SGLang + compile integration. This graph break appears to be in a deeply nested region, so it was causing us to compile a lot of small graphs (example tlparse: <URL> Minimal repro below:
```The code defines an enumeration `ForwardMode` with various modes for sequence processing in a neural network. It then compiles a function `f` using PyTorch's `torch.compile` that adds 1 to its input `x`. If the mode is `DECODE`, it adds 2 more; otherwise, it adds 3. The function is called with `x` set to a tensor of ones and `enum` set to `DECODemode`, resulting in `out` being a tensor of 4s.```

cc @chauhang @penguinwu @voznesenskym @EikanWang @jgong5 @Guobing-Chen @XiaobingSuper @zhuhaozhe @blzheng @wenzhe-nrv @jiayisunx @chenyang78 @kadeng @amjames","['oncall: pt2', 'module: dynamo', 'module: graph breaks']",[],"['module: dynamo', 'module: correctness (silent)', 'dynamo-must-fix']","['oncall: pt2', 'module: dynamo', 'dynamo-must-fix']","['compile-cache', 'dynamo-autograd-function', 'compile-docs', 'module: dynamo']","['oncall: pt2', 'module: dynamo', 'module: correctness (silent)', 'dynamo-must-fix']",[],"['dynamo-autograd-function', 'dynamo-functools', 'dynamo-torch-function', 'dynamo-symbolic-analysis', 'dynamo-tensor-subclasses']","['module: dynamo', 'dynamo-must-fix']",[],0,1
spring-projects/spring-boot/44476,Update version of Elasticsearch test container image,Forward port of issue #44475 to 3.5.x.,['type: task'],"['type: dependency-upgrade', 'theme: containers']","['type: dependency-upgrade', 'theme: containers']","['type: task', 'theme: containers']","['type: dependency-upgrade', 'theme: containers']",['type: dependency-upgrade'],['type: task'],"['type: dependency-upgrade', 'theme: containers']",['type: dependency-upgrade'],['type: task'],1,1
pytorch/pytorch/144830,[dynamo] Issue with torch.compile decorator for simple function using python `format` function with integer input.,"### 🐛 Describe the bug

...
  File ""/home/.../.venv/lib/python3.12/site-packages/torch/_dynamo/variables/builtin.py"", line 1958, in call_format
    return variables.StringFormatVariable.create(format_string, args, kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/.../.venv/lib/python3.12/site-packages/torch/_dynamo/variables/misc.py"", line 1357, in create
    format_string.format(
    ^^^^^^^^^^^^^^^^^^^^
torch._dynamo.exc.InternalTorchDynamoError: AttributeError: 'int' object has no attribute 'format'


Torch JIT compilation seems to have issues calling format function with integer input.

Reproducible example:

```This code snippet imports the `torch` library and defines a compiled function `to_binary_string` that converts an integer to its binary string representation using the `format` function. The function is then called with the argument `10`.```

Example without bug:
```The code snippet imports the `torch` library and defines a compiled function `to_binary_string` that formats an integer into a binary string prefixed with 'b'. When called with the argument `10`, it returns the binary string `'b1010'`.```

### Versions

PyTorch version: 2.5.1+cu124
Is debug build: False
CUDA used to build PyTorch: 12.4
ROCM used to build PyTorch: N/A

OS: Ubuntu 24.04.1 LTS (x86_64)
GCC version: (Ubuntu 13.3.0-6ubuntu2~24.04) 13.3.0
Clang version: Could not collect
CMake version: version 3.28.3
Libc version: glibc-2.39

Python version: 3.12.3 (main, Nov  6 2024, 18:32:19) [GCC 13.2.0] (64-bit runtime)
Python platform: Linux-5.15.167.4-microsoft-standard-WSL2-x86_64-with-glibc2.39
Is CUDA available: False
CUDA runtime version: No CUDA
CUDA_MODULE_LOADING set to: N/A
GPU models and configuration: No CUDA
Nvidia driver version: No CUDA
cuDNN version: No CUDA
HIP runtime version: N/A
MIOpen runtime version: N/A
Is XNNPACK available: True

CPU:
Architecture:                         x86_64
CPU op-mode(s):                       32-bit, 64-bit
Address sizes:                        48 bits physical, 48 bits virtual
Byte Order:                           Little Endian
CPU(s):                               8
On-line CPU(s) list:                  0-7
Vendor ID:                            AuthenticAMD
Model name:                           AMD Ryzen 7 PRO 7840U w/ Radeon 780M Graphics
CPU family:                           25
Model:                                116
Thread(s) per core:                   2
Core(s) per socket:                   4
Socket(s):                            1
Stepping:                             1
BogoMIPS:                             6587.68
Flags:                                fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm constant_tsc rep_good nopl tsc_reliable nonstop_tsc cpuid extd_apicid pni pclmulqdq ssse3 fma cx16 sse4_1 sse4_2 movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm cmp_legacy svm cr8_legacy abm sse4a misalignsse 3dnowprefetch osvw topoext perfctr_core ssbd ibrs ibpb stibp vmmcall fsgsbase bmi1 avx2 smep bmi2 erms invpcid avx512f avx512dq rdseed adx smap avx512ifma clflushopt clwb avx512cd sha_ni avx512bw avx512vl xsaveopt xsavec xgetbv1 xsaves avx512_bf16 clzero xsaveerptr arat npt nrip_save tsc_scale vmcb_clean flushbyasid decodeassists pausefilter pfthreshold v_vmsave_vmload avx512vbmi umip avx512_vbmi2 gfni vaes vpclmulqdq avx512_vnni avx512_bitalg avx512_vpopcntdq rdpid fsrm
Virtualization:                       AMD-V
Hypervisor vendor:                    Microsoft
Virtualization type:                  full
L1d cache:                            128 KiB (4 instances)
L1i cache:                            128 KiB (4 instances)
L2 cache:                             4 MiB (4 instances)
L3 cache:                             16 MiB (1 instance)
Vulnerability Gather data sampling:   Not affected
Vulnerability Itlb multihit:          Not affected
Vulnerability L1tf:                   Not affected
Vulnerability Mds:                    Not affected
Vulnerability Meltdown:               Not affected
Vulnerability Mmio stale data:        Not affected
Vulnerability Reg file data sampling: Not affected
Vulnerability Retbleed:               Not affected
Vulnerability Spec rstack overflow:   Mitigation; safe RET
Vulnerability Spec store bypass:      Mitigation; Speculative Store Bypass disabled via prctl and seccomp
Vulnerability Spectre v1:             Mitigation; usercopy/swapgs barriers and __user pointer sanitization
Vulnerability Spectre v2:             Mitigation; Retpolines; IBPB conditional; IBRS_FW; STIBP conditional; RSB filling; PBRSB-eIBRS Not affected; BHI Not affected
Vulnerability Srbds:                  Not affected
Vulnerability Tsx async abort:        Not affected

Versions of relevant libraries:
[pip3] numpy==2.0.2
[pip3] nvidia-cublas-cu12==12.4.5.8
[pip3] nvidia-cuda-cupti-cu12==12.4.127
[pip3] nvidia-cuda-nvrtc-cu12==12.4.127
[pip3] nvidia-cuda-runtime-cu12==12.4.127
[pip3] nvidia-cudnn-cu12==9.1.0.70
[pip3] nvidia-cufft-cu12==11.2.1.3
[pip3] nvidia-curand-cu12==10.3.5.147
[pip3] nvidia-cusolver-cu12==11.6.1.9
[pip3] nvidia-cusparse-cu12==12.3.1.170
[pip3] nvidia-nccl-cu12==2.21.5
[pip3] nvidia-nvjitlink-cu12==12.4.127
[pip3] nvidia-nvtx-cu12==12.4.127
[pip3] onnx==1.17.0
[pip3] onnxruntime==1.20.1
[pip3] optree==0.13.1
[pip3] torch==2.5.1
[pip3] triton==3.1.0
[conda] Could not collect

cc @chauhang @penguinwu @voznesenskym @EikanWang @jgong5 @Guobing-Chen @XiaobingSuper @zhuhaozhe @blzheng @wenzhe-nrv @jiayisunx @chenyang78 @kadeng @amjames","['oncall: pt2', 'module: dynamo']","['module: python frontend', 'module: autograd']","['module: dynamo', 'dynamo-must-fix']","['oncall: pt2', 'module: dynamo']","['compile-cache', 'dynamo-autograd-function']",['module: dynamo'],"['oncall: pt2', 'module: dynamo']","['module: dynamo', 'easy']","['module: dynamo', 'module: dynamic shapes']","['oncall: pt2', 'module: dynamic shapes']",1,1
microsoft/terminal/18226,Close button looks wrong on Accent Title Bar,"@carlos-zamora this is probably related to your changes for HC

![image](<URL>","['Issue-Bug', 'Area-UserInterface', 'Product-Terminal', 'In-PR']","['Area-Theming', 'Issue-Bug']","['Issue-Bug', 'Area-UserInterface']",[],"['Area-Accessibility', 'Area-Theming', 'Disability-All', 'Impact-Visual', 'Issue-Bug']","['Issue-Bug', 'Area-UserInterface', 'HCL-E+D', 'HCL-WindowsTerminal']","['Issue-Bug', 'Area-UserInterface', 'Product-Terminal']","['Area-Theming', 'Issue-Bug', 'A11yUsable', 'Area-UserInterface', 'Severity-Blocking']","['Issue-Bug', 'Area-UserInterface', 'A11yWCAG']",[],1,1
spring-projects/spring-boot/44561,Upgrade to Spring Data Bom 2024.0.10,Upgrade to [Spring Data Bom 2024.0.10](<URL>,['type: dependency-upgrade'],['type: dependency-upgrade'],['type: dependency-upgrade'],['type: dependency-upgrade'],['type: dependency-upgrade'],['type: dependency-upgrade'],['type: dependency-upgrade'],['type: dependency-upgrade'],[],['type: dependency-upgrade'],0,1
ziglang/zig/23210,empty anonymous array init doesnt coerce to many pointer,"### Zig Version

0.15.0-dev.7+4cefd1bd1

### Steps to Reproduce and Observed Behavior

```The code snippet declares a pointer `a` to a constant array of `u8` type and initializes it with an empty array. The pointer is then assigned to the blank identifier `_`.```
```The code attempts to initialize a pointer to a constant `u8` array using the array initialization syntax but encounters an error because the `u8` type does not support this syntax directly.```
#18925 missed this case

### Expected Behavior

successful compile same as when the initializer isnt empty",['bug'],['bug'],['bug'],"['bug', 'frontend']","['bug', 'compiler-rt']","['bug', 'miscompilation']","['bug', 'frontend']","['bug', 'compiler-rt', 'frontend', 'error message', 'miscompilation']","['bug', 'frontend', 'miscompilation']","['bug', 'miscompilation', 'backend-c']",1,1
