representative_label_by_embedding,count,representative_label_by_count,count,total_count,cluster
bug fix,18,bug,14650,14724,"['bug', 'bug fix', 'bug report', 'bugfix', 'feature bug']"
type:enhancement,34,enhancement,1655,1797,"['enhancement', 'type:enhancement', 'type/enhancement', 'kind/enhancement', 'type: enhancement']"
topic:documentation,2,documentation,2591,2640,"['documentation', 'type: documentation', 'domain: documentation', 'domain:documentation', 'category: documentation', 'topic/documentation', 'documentation generation', 'type:documentation', 'topic:documentation', 'documentation needed', 'documentation suggestion', 'documentation request']"
dependency issue,42,dependency upgrade,971,1632,"['dependency update', 'dependency upgrade', 'dependency conflict', 'dependency issue', 'dependency issues', 'library dependency', 'dependencyupgrade', 'dependencyupdate', 'dependency check', 'dependency problem', 'package dependency', 'missing dependency', 'dependencies upgrade', 'dependencies update']"
test failure,1026,test failure,1026,1222,"['test failure', 'flaky test', 'test failures', 'test flaky', 'test missing', 'test issue', 'test results', 'testing issue', 'testing failure', 'test/failure', 'flaky tests', 'test bug']"
compiler,1145,compiler,1145,1183,"['compiler', 'compiler suggestion', 'compiler rt', 'compilers', 'compiler frontend', 'compiler builtins', 'a compiler', 'compiler design', 'compiler specific', 'language compiler', 'compiler implementation']"
feature proposal,2,feature request,2225,2303,"['feature request', 'new feature', 'featurerequest', 'feature proposal', 'type: feature request', 'type:feature request', 'feature requests', 'feature change']"
user interface,274,ui,1340,1657,"['ui', 'user interface', 'interface', 'ui ux', 'ui/ux', 'user interfaces']"
build system,391,build,895,1292,"['build', 'build system', 't build system', 'topic:build']"
compiler issue,11,compiler error,493,1120,"['compiler error', 'compile error', 'compiler bug', 'compiler warning', 'compilation error', 'compiler crash', 'compile time error', 'compiler errors', 'compiler panic', 'compiler issue', 'compiler warnings', 'compile time issue', 'compiler message', 'miscompile', 'compilererror', 'compilation issue', 'compiler issues', 'compiler bugs', 'compilation bug', 'compile failure', 'compilation failure', 'compile fail']"
api use,2,api,829,959,"['api', 'api proposal', 'rest api', 'api enhancement', 'api improvement', 'api usage', 'api request', 'api review', 'api testing', 'internal api', 'java api', 'api access', 'api integration', 'client api', 'api client', 'api suggestion', 'api compliance', 'api use']"
domain: performance,10,performance,1955,1975,"['performance', 'domain: performance', 'domain:performance', 'category performance', 'topic performance', 'topic:performance']"
testing,1629,testing,1629,2295,"['testing', 'test', 'testfailure', 'testcontainers', 'tests', 'test related', 'test context']"
ci cd,18,ci,744,777,"['ci', 'ci cd', 'ci/cd', 'topic: ci', 'category:ci']"
runtime,626,runtime,626,631,"['runtime', 'runtime hints']"
security,819,security,819,851,"['security', 'safety', 'protection']"
cli usage,3,cli,420,431,"['cli', 'cli usage', 'cli server', 'cli command']"
feature regression,4,regression,441,447,"['regression', 'visual regression', 'feature regression']"
text editing,7,editor,593,664,"['editor', 'editing', 'text editor', 'text editing']"
database,1070,database,1070,1084,"['database', 'database/sql', 'domain database', 'database engine', 'domain/database', 'database integration']"
features,16,feature,440,464,"['feature', 'features', 'feature discussion', 'feature index', 'feature management']"
esql,252,esql,252,277,"['esql', 'esql plugin', 'esql spec']"
terminal feature,5,terminal,454,505,"['terminal', 'terminal ui', 'terminal behavior', 'terminal app', 'terminal emulation', 'terminal protocol', 'windows terminal', 'terminal feature', 'terminal features', 'terminal emulator']"
gopls,339,gopls,339,342,"['gopls', 'area:gopls']"
log,14,logging,463,512,"['logging', 'logsdb', 'log4j2', 'log4j', 'general log', 'log', 'log analysis', 'log level']"
plugins,9,plugin,269,287,"['plugin', 'plugins', 'plugin system', 'plugin management']"
windows,415,windows,415,453,"['windows', 'ubuntu', 'microsoft']"
runtime error,393,runtime error,393,464,"['runtime error', 'runtimeerror', 'runtime panic', 'runtime issue', 'runtime crash', 'runtime errors', 'runtime warning', 'runtime exception', 'runtime issues']"
types,55,type system,644,753,"['type system', 'go/types', 'types', 'go types', 'typesystem']"
gradle,295,gradle,295,337,"['gradle', 'gradle plugin', 'domain:gradle']"
topic:configuration,2,configuration,999,1008,"['configuration', 'default configuration', 'topic: configuration', 'configuration option', 'topic:configuration']"
dynamo framework,2,dynamo,456,460,"['dynamo', 'category dynamo', 'dynamo framework']"
rendering,320,rendering,320,332,"['rendering', 'graphics', 'render', 'image rendering']"
syntax,255,syntax,255,257,"['syntax', 'syntax definition']"
web,306,web,306,361,"['web', 'website']"
behavior,138,behavior,138,142,"['behavior', 'language behavior']"
extension,256,extension,256,377,"['extension', 'extensions', 'extension api', 'extension management', 'extensionapi', 'extension development', 'extension handling', 'extension system']"
accessibility,228,accessibility,228,230,"['accessibility', 'accessibility issues']"
docker,291,docker,291,310,"['docker', 'docker compose', 'domain: docker', 'docker image', 'docker integration']"
dependency management,491,dependency management,491,1508,"['dependency management', 'dependency', 'dependency resolution', 'dependencies', 'dependency injection', 'dependencyinjection', 'dependencymanagement', 'dependencyresolution', 'runtime dependency', 'external dependency', 'optional dependencies', 'domain: dependency management', 'domain:dependencies', 'third party dependency', 'topic:dependency management', 'upstream dependency', 'optional dependency']"
maven integration,2,maven,224,322,"['maven', 'maven plugin', 'maven integration']"
spring framework,499,spring framework,499,656,"['spring framework', 'spring integration', 'spring context', 'spring framework 6.1', 'springframework', 'spring framework 6.2', 'spring framework 6', 'spring environment', 'spring features', 'spring modules', 'spring properties', 'spring extensions', 'framework spring boot']"
trait object,25,trait,171,380,"['trait', 'traits', 'trait related', 'trait system', 'trait implementation', 'trait objects', 'trait object', 'trait upcasting', 'trait selection', 'trait resolution', 'trait specialization', 'a trait objects', 'trait method']"
spring boot 3,3,spring boot,1725,1889,"['spring boot', 'spring boot dependencies', 'spring boot 3.4', 'spring boot 3.2', 'spring boot features', 'spring boot 3.3', 'spring boot 3.x', 'spring boot buildpack', 'spring boot 2.x', 'spring boot loader', 'spring boot 3.4.x', 'spring boot build', 'spring boot docker', 'spring boot feature', 'spring boot 3', 'spring boot upgrade', 'springboot', 'spring boot compatibility']"
