representative_label_by_embedding,count,representative_label_by_count,count,total_count,cluster
compiler,1145,bug,14650,59020,"['bug', 'enhancement', 'documentation', 'dependency update', 'compiler', 'feature request', 'ui', 'build', 'compiler error', 'api', 'performance', 'dependency upgrade', 'cli', 'editor', 'feature', 'build system', 'terminal', 'runtime error', 'type system', 'docker', 'dependency management', 'maven', 'spring framework', 'trait', 'spring boot', 'dependency', 'error', 'optimization', 'dependency resolution', 'compile error', 'http', 'type error', 'tooling', 'language', 'upgrade', 'java', 'layout', 'build failure', 'cpu', 'error message', 'ux', 'user interface', 'httpclient', 'parser', 'spring data', 'async', 'server', 'jdbc', 'compiler bug', 'compile time', 'compilation', 'web server', 'generics', 'compatibility', 'dependencies', 'language server', 'optimizer', 'ssl', 'compiler behavior', 'command line', 'type bug', 'api change', 'dependency conflict', 'refactoring', 'linking', 'warning', 'const eval', 'executor', 'input', 'gui', 'bugs', 'error handling', 'language feature', 'webserver', 'compile', 'cmd/go', 'linker', 'user experience', 'mockito', 'tools', 'http2', 'typechecker', 'traits', 'net/http', 'compiler internal', 'function', 'runtimeerror', 'refactor', 'http client', 'libraries', 'c++', 'api design', 'type inference', 'library', 'compiler warning', 'compilation error', 'framework', 'webclient', 'ide', 'runtime panic', 'cpp', 'keyboard', 'go/types', 'language design', 'build tools', 'build process', 'upgrades', 'buildpack', 'dependency injection', 'client', 'language go', 'spring test', 'typeerror', 'input handling', 'build error', 'f compiler', 'data type', 'spring boot configuration', 'spring integration', 'command', 'api proposal', 'output', 'build issue', 'parsing', 'tls', 'const', 'trait related', 'f traits', 'f compiler error', 'math', 'types', 'device', 'data types', 'spring web', 'dependency issue', 'compiletest', 'typechecking', 'warnings', 'python api', 'rest api', 'keybindings', 'usability', 'input method', 'language features', 'generic', 'async await', 'const evaluation', 'features', 'language support', 'api documentation', 'api clarity', 'vscode', 'api compatibility', 'std library', 't compiler', 'runtime behavior', 'spring boot dependencies', 'backward compatibility', 'maven plugin', 'exception handling', 'crypto/tls', 'link', 'textinput', 'devtools', 'websocket', 'compiler suggestion', 'compiler crash', 'const generics', 'typing', 'spring boot autoconfigure', 'spring boot web', 'spring context', 'api enhancement', 'feedback', 'release notes', 'runtime issue', 'interface', 'build tool', 'tool', 'client server', 'internal error', 'api breaking change', 'compile time error', 'api reference', 'api deprecation', 'trait system', 'c interop', 'compiler optimization', 'spring boot 3.4', 'buildpacks', 'spring boot core', 'spring boot 3.2', 'python integration', 'keyboard shortcuts', 'window management', 'ui ux', 'api improvement', 'runtime crash', 'cmd', 'type safety', 'api behavior', 'api docs', 't traits', 'opaque types', 'compiler errors', 'integer', 'link issue', 'compiling', 'jdk', 'websockets', 'api error', 'python version', 'keybinding', 'input output', 'api usage', 'api issue', 'editing', 'ide features', 'dev server', 'type check', 'type checker', 'editor integration', 'standard library', 'api breaking', 'type:bug', 'new feature', 'errors', 'type api', 'library compatibility', 'type mismatch', 'compiler rt', 'impl trait', 'const fn', 'const propagation', 'const items', 'associated types', 'async runtime', 't build system', 'compilers', 'typeck', 'libc', 'api consistency', 'datatype', 'optimizers', 'spring boot starter web', 'spring boot features', 'build tooling', 'constructor', 'spring boot 3.3', 'spring mvc', 'rich text editor', 'package installation', 'vscode extension', 'featurerequest', 'code editor', 'api incompatibility', 'code optimization', 'commands', 'window behavior', 'client side', 'go tools', 'request body', 'error reporting', 'parse error', 'build related', 'type improvement', 'type checking', 'command line behavior', 'feature discussion', 'platform compatibility', 'compiler feedback', 'syntax error', 'circular dependency', 'type feature', 'type:enhancement', 'api request', 'api missing', 'web api', 'f trait', 'compiler frontend', 'api review', 'async fn', 'compiler panic', 'compiler builtins', 'f async', 'a compiler', 'incremental compilation', 'f const', 't const', 'command line interface', 'dependencyinjection', 'aotcompilation', 'compiler issue', 'python compatibility', 'type hints', 'type: bug', 'multilingual', 'build info', 'request handling', 'spring boot 3.x', 'spring boot buildpack', 'spring data mongodb', 'web client', 'java version', 'rest client', 'ui enhancement', 'ui improvement', 'spring framework 6.1', 'web framework', 'restclient', 'spring webmvc', 'spring framework core', 'string handling', 'codebrowser', 'method dispatch', 'cli usage', 'python versioning', 'editor feature', 'multi window', 'text editor', 'vscode ui', 'api update', 'language style', 'web ui', 'ui feedback', 'ide feature', 'server side', 'babel', 'build issues', 'runtime errors', 'runtime performance', 'cmd/cgo', 'type/bug', 'ui/ux', 'server error', 'type assertion', 'command line tool', 'cmd/gomote', 'spec compliance', 'cross platform', 'cmd/compile', 'go tool', 'type/improvement', 'type/feature', 'type issue', 'generic types', 'ide integration', 'language proposal', 'url handling', 'url parsing', 'library issue', 'cli tool', 'f const trait', 'trait implementation', 'libstd', 'compiler diagnostics', 'const expressions', 'numeric', 'compile test', 'trait objects', 'trait object', 'compiler intrinsic', 't compiler error', 'f compiler errors', 'efficiency', 'f compiler internal', 'function call', 'method resolution', 'missing feature', 'f dyn trait', 'f generics', 'f opaque types', 'compiler warnings', 'cli behavior', 'platform support', 'compiler design', 'generic const exprs', 'compilation time', 'c compiler', 'const trait', 'terminal ui', 'api doc', 'aot compilation', 'aot compiler', 'aot compile', 'doc issue', 'compile time issue', 'compile time behavior', 'functions', 'cpu features', 'asyncio', 'data type issues', 'c api', 'type conversion', 'shapeerror', 'dependency issues', 'parsing error', 'type api change', 'golang', 'library dependency', 'go runtime', 'dependencyupgrade', 'spring boot starter', 'spring boot testing', 'spring rest docs', 'spring restdocs', 'boot starter', 'spring data jpa', 'spring boot starter test', 'dev services', 'type enhancement', 'spring boot 2.x', 'spring webflux', 'dependencymanagement', 'web application', 'webservices', 'task execution', 'dependencyupdate', 'type/enhancement', 'spring boot cli', 'code improvement', 'rolling upgrade', 'jvm', 'alias', 'arithmetic', 'function reference', 'springframework', 'spring framework 6.2', 'spring core', 'spring framework 6', 'constructor injection', 'rest docs', 'task executor', 'method handle', 'async support', 'handler', 'parser issue', 'compiler specific', 'gcc', 'methoderror', 'python packaging', 'dependencyresolution', 'python env', 'project management', 'fatal error', 'fatalerror', 'domain language', 'language c', 'compiler compatibility', 'code refactoring', 'go language', 'data type issue', 'c code', 'ui design', 'vscode web', 'embedded languages', 'type hierarchy', 'uri encoding', 'ui interaction', 'vscode dev', 'command prompt', 'window layout', 'input field', 'ui layout', 'link broken', 'compiler internal error', 'pkg.go.dev', 'go types', 'kind/enhancement', 'cmd/vet', 'build id', 'glibc', 'parse', 'integer arithmetic', 'type params', 'internal api', 'package missing', 'incompatible', 'net http', 'buildmode', 'cmd go', 'type alias', 'language/go', 'cmd/gonew', 'release build', 'dev settings', 'internalerror', 'https', 'n api', 'js error', 'unstable api', 'target cpu', 'compiler interaction', 'const fns', 'links', 'const safety', 'internal compiler error', 'api stability', 'compiler regression', 'async closures', 'f async closure', 'platform specific', 'compiler message', 'trait upcasting', 'feature proposal', 'f specialization', 'async programming', 'miscompile', 'library usage', 'dependency check', 'compiler feature', 'async fn traits', 'async closure', 'trait impl', 'trait selection', 'const functions', 'terminal behavior', 'terminal app', 'command not found', 'terminal emulation', 'runtime warning', 'inputs', 'command line tools', 'type promotion', 'dynamic compilation', 'c++ api', 'type: enhancement', 'runtime dependency', 'missing function', 'compilererror', 'device support', 'c implementation', 'int type', 'type:feature', 'api bug', 'type guard', 'dev mode', 'parser error', 'type feature request', 'content processing', 'java 21', 'spring boot loader', 'upgrade policy', 'dependency problem', 'url update', 'spring data cassandra', 'processor', 'upgrading', 'spring boot 3.4.x', 'web services', 'spring boot test autoconfigure', 'spring cloud config', 'spec compatibility', 'spring boot build', 'spring init', 'spring boot docker', 'spring environment', 'web testing', 'dev tools', 'spring boot auto configuration', 'java compiler', 'third party library', 'domain/build', 'spring boot tools', 'http error', 'bug fix', 'library conflict', 'script error', 'cpu usage', 'type propagation', 'api upgrade', 'ide support', 'runtime exception', 'java api', 'spring data jdbc', 'response handling', 'methodhandle', 'spring websocket', 'expression parser', 'exception message', 'handler method', 'code browser', 'c cpp', 'input validation', 'ui feature', 'stack editor', 'keyerror', 'c language', 'api access', 'application layout', 'web interface', 'api integration', 'typesystem', 'math functions', 'parser bug', 'type stability', 'external dependency', 'math function', 'type', 'find links', 'command execution', 'project setup', 'http request', 'python interpreter', 'command issue', 'user feedback', 'dev dependencies', 'optional dependencies', 'project structure', 'python project', 'package dependency', 'url resolution', 'type: documentation', 'function error', 'c++ compatibility', 'documentation bug', 'os compatibility', 'languagefeature', 'constant', 'cli server', 'errorhandling', 'generic functions', 'transitive analysis', 'incremental build', 'linker error', 'function calls', 'async load', 'data inconsistency', 'client api', 'data retrieval', 'numerics', 'function behavior', 'performance issue', 'programming language', 'type: feature request', 'bug report', 'development', 'spring boot feature', 'spring projects', 'performance optimization', 'go tooling', 'generic programming', 'programming', 'go standard library', 'java ee', 'domain: documentation', 'compilation issue', 'go build', 'jit compilation', 'data mismatch', 'vscode features', 'windows terminal', 'type: feature', 'go command', 'documentation issue', 'error report', 'text processing', 'web development', 'go compiler', 'bugfix', 'type:feature request', 'text manipulation', 'software development', 'command line options', 'domain: performance', 'library management', 'mathematics', 'spring expression', 'note taking', 'domain: api', 'go language server', 'type incorrectness', 'type unsoundness', 'broken link', 'library maintenance', 'domain:build', 'text input', 'compatibility issue', 'vscode api', 'go toolchain', 'language standards', 'package issue', 'internalcompilererror', 'language implementation', 'numerical', 'upgrade issue', 'java support', 'vscode extensions', 'type: refactor', 'text editing', 'domain/go', 'compiler flags', 'go/tools', 'domain: tooling', 'language extensions', 'linker issue', 'core lib', 'library issues', 'core language', 'spring boot plugin', 'domain: build', 'spring configuration', 'note management', 'project configuration', 'domain: language features', 'incompatibility', 'vscode internal', 'keyboard input', 'domain:ui', 'ux improvement', 'domain: gopls', 'go/build', 'language spec', 'constants', 'const expr', 'domain language features', 'numerical computation', 'performance improvement', 'domain:documentation', 'java features', 'async execution', 'spring expression language', 'vscode insiders', 'domain: ui', 'domain: go', 'go/cmd', 'invalid input', 'cmd compile', 'domain: compiler', 'language compiler', 'linking issue', 'development tool', 'type: issue', 'type aliasing', 'string manipulation', 'core library', 'library support', 'constant evaluation', 'application crash', 'build configuration', 'topic: optimization', 'math operations', 'category: documentation', 'bitcoin core', 'type:dependency upgrade', 'core functionalities', 'type: bugfix', 'java application', 'data processing', 'programming language agnostic', 'editor functionality', 'keyboard navigation', 'domain: user interface', 'keyboard shortcut', 'domain:editor', 'keyboard interaction', 'terminal feature', 'slow performance', 'domain:performance', 'development mode', 'domain language server', 'constant expression', 'editor plugin', 'domain: language server', 'domain: language', 'type/issue', 'domain/go tools', 'type/breaking change', 'cpu architecture', 'domain/tools', 'topic: compatibility', 'javascript error', 'java exception', 'domain: dependency management', 'cli options', 'cli command', 'conditional compilation', 'compiler issues', 'library features', 'numeric types', 'invalid code', 'const generic', 'compiler bugs', 'domain compiler', 'compiler features', 'compiler implementation', 'function definition', 'trait resolution', 'type:upgrade', 'jit compiler', 'dynamic compiler', 'math operation', 'model optimization', 'cpu performance', 'domain: math', 'functional issue', 'data conversion', 'domain math', 'cross platform issue', 'library incompatibility', 'type: refactoring', 'domain:dependencies', 'domain:build tool', 'domain: spring boot', 'type:refactoring', 'unexpected error', 'internal server error', 'ui customization', 'spring features', 'method invocation', 'rich text', 'domain:editing', 'domain: user experience', 'vscode server', 'error messages', 'language service', 'vscode insider', 'vscode configuration', 'domain: api design', 'vscode feature', 'ux feedback', 'visual studio code', 'domain: editor', 'category:feature request', 'async operation', 'vscode ide', 'ui appearance', 'domain:go language', 'domain:go tools', 'domain:programming language', 'evaluation error', 'http protocol', 'net/http2', 'project maintenance', 'documentation inconsistency', 'process execution', 'go/cmd/go', 'go c interop', 'domain/go standard library', 'compiler optimizations', 'go project', 'go ide', 'domain: go tools', 'library proposal', 'cpu instruction', 'topic/documentation', 'language specification', 'command failure', 'domain/language', 'go programming language', 'compiler assertion', 'os agnostic', 'type: error message', 'development tools', 'topic: api', 'web apis', 'category: api', 'topic: api change', 'runtime issues', 'script execution', 'async iterable', 'type: api change', 'const unsafety', 'feature bug', 'compilation bug', 'type system bug', 'compiler interpretation', 'compiler configuration', 'compile failure', 'documentation generation', 'trait impl conflict', 'windows specific', 'const features', 'invalid syntax', 'invalid program', 'type traits', 'linking error', 'binary compatibility', 'domain const generics', 'generic parameter', 'compilation failure', 'type parameter issue', 'linker problem', 'generic issue', 'library problem', 'type alias impl trait', 'function arguments', 'generic const items', 'unimplemented feature', 'user interfaces', 'issue type/bug', 'domain/language features', 'type checking bug', 'core libraries', 'compiler verification', 'type unification', 'invalid usage', 'trait specialization', 'std lib', 'terminal features', 'type: improvement', 'type:documentation', 'topic:build', 'topic:optimization', 'topic:documentation', 'category feature request', 'category: compilation', 'data type conversion', 'multiplication', 'cpu optimization', 'third party dependency', 'data type mismatch', 'type: optimization', 'c++ related', 'topic:performance', 'numerical computing', 'domain: optimization', 'layout issue', 'core development', 'type:issue', 'user interaction', 'production build', 'bug fix request', 'multilingual support', 'bug fix version upgrade', 'release note', 'domain: build tool', 'deprecated api', 'java ecosystem', 'topic:dependency management', 'third party libraries', 'feature requests', 'type:release note', 'java technology', 'spring boot 3', 'minor issue', 'client upgrade', 'spring modules', 'spring properties', 'spring extensions', 'optimization issue', 'api keys', 'type casting', 'user input', 'uri handling', 'url encoding', 'method argument resolution', 'string processing', 'category:refactoring', 'language agnostic', 'software engineering', 'low level programming', 'gui improvement', 'package build', 'type instability', 'python support', 'python library', 'build problem', 'platform agnostic', 'core functionality', 'programming error', 'c standard', 'language standard', 'calculation', 'invalid data', 'minor bug', 'developer tools', 'editor navigation', 'editor ui', 'argument parsing', 'gccgo', 'type aliases', 'build mode', 'command output', 'standard compliance', 'url issue', 'doc bug', 'web platform', 'url validation', 'javascript issue', 'api mismatch', 'const trait impl', 'associated type', 'cpu detection', 'edition compatibility', 'a trait objects', 'generic constants', 'generic parameters', 'trait associated types', 'generic type', 'trait alias', 'const expression', 'type change', 'read impl', 'compiler diagnostic', 'async issue', 'form validation', 'input output mapping', 'device specific', 'device agnostic', 'python package', 'cross version compatibility', 'warning messages', 'key error', 'cyclic dependency', 'type hint issue', 'device compatibility', 'layout mismatch', 'public api', 'optimizations', 'build tool configuration', 'build output', 'types issue', 'build test', 'interop', 'api version', 'missing dependency', 'client connection', 'spring data r2dbc', 'release candidate', 'spring boot upgrade', 'ssl configuration', 'transitive dependency', 'docker image', 'upgrade required', 'spring config', 'key bindings', 'hyperlinks', 'shell command', 'terminal emulator', 'async handling', 'async executor', 'uri parsing', 'method handler', 'api client', 'function invocation', 'async requests', 'uri resolution', 'http connection', 'build time', 'request response', 'spring webclient', 'core framework', 'key binding', 'note editing', 'multiple window support', 'circular dependencies', 'type constraint', 'abstract types', 'python environment', 'core engine', 'integer type', 'incompatible types', 'language extension', 'cpu feature detection', 'api evolution', 'design change', 'editor features', 'backward compatible', 'ui suggestion', 'api suggestion', 'lang server', 'ui look and feel', 'upstream dependency', 'api compliance', 'error suggestion', 'ui upgrade', 'string comparison', 'ui request', 'ui change', 'generic issues', 'compile fail', 'impl', 'backwards compatibility', 'input box', 'doc request', 'golang go', 'http server', 'asynchronous', 'const context', 'input processing', 'function missing', 'gcc compatibility', 'documentation needed', 'glibc compatibility', 'api response', 'type compatibility', 'python version conflict', 'issue report', 'performance issues', 'quick input', 'documentation suggestion', 'production mode', 'method call', 'external link', 'os interface', 'generic code', 'version compatibility', 'version upgrade', 'layout problem', 'architecture compatibility', 'shell script', 'url pattern', 'async io', 'async recursion', 'trait method', 'functional bug', 'english', 'command suggestion', 'mathematical function', 'device type', 'mathematical operations', 'cpp compile error', 'api use', 'cpp issue', 'build pack', 'oracle jdk', 'dependencies upgrade', 'maven integration', 'dependencies update', 'uri validation', 'springboot', 'framework spring boot', 'spring boot maven plugin', 'upgrade issues', 'handler mapping', 'spring boot compatibility', 'url handlers', 'spring mockito', 'uri template', 'http method', 'executor service', 'python version mismatch', 'data type management', 'documentation request', 'core function', 'optional dependency', 'platform issue', 'docker integration', 'text field', 'br tool']"
test issue,15,testing,1629,4583,"['test failure', 'testing', 'test', 'integration test', 'flaky test', 'integration tests', 'test failures', 'ci test failure', 'test flaky', 'tests', 'ci failure', 'unittest', 'test missing', 'go test', 'test related', 'a code coverage', 'unit testing', 'system tests', 'unit tests', 'test issue', 'integrationtests', 'integrationtest', 'unit test', 'test coverage', 'runtime test', 'test case', 'test execution', 'unit test failure', 'it test', 'test integration', 'test flakiness', 'integration testing', 'ci issue', 'domain: testing', 'domain:testing', 'testing issue', 'testing failure', 'test/failure', 'domain/testing', 'topic: testing', 'go/test', 'code coverage', 'system test', 'integ test', 'integration test failure', 'ci update', 'unittest failure', 'testability', 'flaky tests', 'test bug', 'ci system tests', 'profile integ tests']"
ci cd,18,ci,744,789,"['ci', 'ci cd', 'ci/cd', 'cds', 'topic: ci', 'category:ci', 'cd']"
runtime,626,runtime,626,626,['runtime']
security,819,security,819,819,['security']
feature regression,4,regression,441,447,"['regression', 'visual regression', 'feature regression']"
sql,420,database,1070,2339,"['database', 'sql', 'query planner', 'storage', 'filesystem', 'query', 'file system', 'data access', 'query execution', 'query performance', 'sql parser', 'query optimization', 'file handling', 'sql syntax', 'query plan', 'mssql', 'sql feature', 'database/sql', 'slow query log', 'query planning', 'query optimizer', 'data management', 'sql mode', 'slow query', 'file management', 'chdir', 'readdir', 'queries', 'query list', 'sqlserver', 'querying', 'query parser', 'sql performance', 'slow log', 'sql function', 'sql query', 'query result', 'query language', 'storage engine', 'directory', 'directory management', 'sql optimization', 'data storage', 'database performance', 'database management', 'directory operations', 'database engine', 'table management', 'sql functionality', 'sql engine', 'query issue', 'sql execution', 'sql server', 'file input', 'sql analysis', 'filesystem error', 'sql es', 'sql parsing', 'filesystem issue', 'query processing']"
esql,252,esql,252,252,['esql']
gopls,339,gopls,339,339,['gopls']
log,14,logging,463,508,"['logging', 'log4j2', 'log4j', 'general log', 'log', 'log management', 'log analysis', 'log level']"
