representative_label_by_embedding,count,representative_label_by_count,count,total_count,cluster
bug fix,18,bug,14650,14721,"['bug', 'bug fix', 'bug report', 'bugfix']"
type:enhancement,34,enhancement,1655,1797,"['enhancement', 'type:enhancement', 'type/enhancement', 'kind/enhancement', 'type: enhancement']"
type: documentation,10,documentation,2591,2607,"['documentation', 'type: documentation', 'category: documentation', 'type:documentation']"
dependency update,562,dependency upgrade,971,1541,"['dependency update', 'dependency upgrade', 'dependencyupgrade', 'dependencyupdate', 'dependencies upgrade', 'dependencies update']"
test failure,1026,test failure,1026,1044,"['test failure', 'test failures', 'testing failure', 'test/failure']"
compiler,1145,compiler,1145,1156,"['compiler', 'compilers', 'a compiler', 'language compiler']"
type: feature request,45,feature request,2225,2287,"['feature request', 'featurerequest', 'feature proposal', 'type: feature request', 'type:feature request', 'feature requests']"
ui/ux,3,ui,1340,1356,"['ui', 'ui ux', 'ui/ux']"
build,895,build,895,897,"['build', 'topic:build']"
compiler error,493,compiler error,493,514,"['compiler error', 'compiler errors', 'compiler issue', 'compilererror', 'compiler issues']"
api use,2,api,829,886,"['api', 'rest api', 'api usage', 'api request', 'api access', 'api integration', 'client api', 'api client', 'api use']"
domain: performance,10,performance,1955,1970,"['performance', 'domain: performance', 'domain:performance', 'topic:performance']"
tests,39,testing,1629,2216,"['testing', 'test', 'tests', 'test related']"
category:ci,2,ci,744,751,"['ci', 'topic: ci', 'category:ci']"
runtime,626,runtime,626,626,['runtime']
security,819,security,819,849,"['security', 'safety']"
cli,420,cli,420,423,"['cli', 'cli server']"
feature regression,4,regression,441,447,"['regression', 'visual regression', 'feature regression']"
editor,593,editor,593,648,"['editor', 'editing']"
database,1070,database,1070,1078,"['database', 'database/sql', 'database engine']"
feature,440,feature,440,459,"['feature', 'features', 'feature discussion']"
build system,391,build system,391,395,"['build system', 't build system']"
esql,252,esql,252,252,['esql']
terminal,454,terminal,454,470,"['terminal', 'windows terminal']"
gopls,339,gopls,339,339,['gopls']
log,14,logging,463,481,"['logging', 'general log', 'log', 'log analysis']"
plugins,9,plugin,269,278,"['plugin', 'plugins']"
windows,415,windows,415,419,"['windows', 'microsoft']"
runtime error,393,runtime error,393,418,"['runtime error', 'runtimeerror', 'runtime errors', 'runtime exception']"
type system,644,type system,644,710,"['type system', 'types', 'typesystem']"
gradle,295,gradle,295,301,"['gradle', 'domain:gradle']"
topic:configuration,2,configuration,999,1003,"['configuration', 'topic: configuration', 'topic:configuration']"
dynamo,456,dynamo,456,456,['dynamo']
rendering,320,rendering,320,324,"['rendering', 'render', 'image rendering']"
syntax,255,syntax,255,257,"['syntax', 'syntax definition']"
web,306,web,306,361,"['web', 'website']"
behavior,138,behavior,138,138,['behavior']
extensions,57,extension,256,317,"['extension', 'extensions', 'extension handling', 'extension system']"
accessibility,228,accessibility,228,230,"['accessibility', 'accessibility issues']"
docker,291,docker,291,295,"['docker', 'docker image', 'docker integration']"
dependency management,491,dependency management,491,1200,"['dependency management', 'dependency', 'dependencies', 'dependencymanagement', 'domain: dependency management', 'topic:dependency management']"
maven integration,2,maven,224,322,"['maven', 'maven plugin', 'maven integration']"
spring framework,499,spring framework,499,635,"['spring framework', 'spring integration', 'spring framework 6.1', 'springframework', 'spring framework 6.2', 'spring framework 6', 'spring environment', 'framework spring boot']"
trait,171,trait,171,277,"['trait', 'traits', 'trait related', 'trait system']"
spring boot,1725,spring boot,1725,1727,"['spring boot', 'springboot']"
typescript,386,typescript,386,390,"['typescript', 'topic: typescript', 'typescript support']"
integration,285,integration,285,289,"['integration', 'integration issue']"
crash,644,crash,644,647,"['crash', 'crashes']"
panic,244,panic,244,252,"['panic', 'panics']"
integrationtest,2,integration test,420,507,"['integration test', 'integration tests', 'integrationtests', 'integrationtest', 'test integration', 'integration testing', 'integration test failure']"
sql analysis,3,sql,420,427,"['sql', 'sql query', 'sql analysis']"
error,270,error,270,288,"['error', 'errors']"
optimization,668,optimization,668,675,"['optimization', 'optimization issue', 'optimizations']"
docs,181,docs,181,261,"['docs', 'doc']"
dependency resolution,171,dependency resolution,171,173,"['dependency resolution', 'dependencyresolution']"
compile failure,2,compilation error,81,210,"['compile error', 'compilation error', 'compile time error', 'compile time issue', 'miscompile', 'compilation issue', 'compilation bug', 'compile failure', 'compilation failure', 'compile fail']"
net/http2,2,http,284,399,"['http', 'http2', 'net/http', 'net http', 'net/http2']"
text search,2,search,201,205,"['search', 'text search', 'search function']"
type issue,18,type error,90,174,"['type error', 'type mismatch', 'type issue', 'type incorrectness', 'type: issue', 'type/issue', 'type:issue', 'types issue', 'incompatible types']"
crypto,206,crypto,206,225,"['crypto', 'cryptography']"
tooling,199,tooling,199,199,['tooling']
language,262,language,262,269,"['language', 'babel', 'english']"
core,216,core,216,216,['core']
aot,157,aot,157,166,"['aot', 'aoti']"
instrumentation,70,instrumentation,70,70,['instrumentation']
domain cuda,2,cuda,326,338,"['cuda', 'cuda support', 'domain cuda', 'domain: cuda']"
spel,144,spel,144,169,"['spel', 'spl']"
memory leak,245,memory leak,245,251,"['memory leak', 'resource leak', 'memory leaks']"
android,147,android,147,149,"['android', 'platform:android']"
networking,125,network,173,298,"['networking', 'network']"
lifetime,106,lifetime,106,122,"['lifetime', 'lifetimes', 'f lifetime']"
distributed,126,distributed,126,132,"['distributed', 'distribute']"
python,454,python,454,460,"['python', 'ipython', 'python3']"
codegen,146,codegen,146,146,['codegen']
upgrade,2079,upgrade,2079,2106,"['upgrade', 'upgrades', 'upgrading']"
