representative_label_by_embedding,count,representative_label_by_count,count,total_count,cluster
documentation bug,6,bug,14650,15549,"['bug', 'compiler bug', 'type bug', 'bugs', 'fuzzing', 'backport', 'quickfix', 'rustc bug', 'type: bug', 'changelog', 'visual bug', 'vuln check', 'workaround', 'bug fix', 'parser bug', 'documentation bug', 'fuzzer', 'bug report', 'language bug', 'bugfix', 'type: bugfix', 'compiler bugs', 'feature bug', 'compilation bug', 'type system bug', 'bug introduction', 'type checking bug', 'bug fix request', 'bug fix version upgrade', 'decompiler bug', 'ghidra bug', 'minor bug', 'extension bug', 'production bug', 'functional bug', 'test bug']"
improvement,316,enhancement,1655,2115,"['enhancement', 'improvement', 'general', 'type: enhancement', 'performance improvement', 'type: improvement', 'general improvement', 'suggestion improvement']"
documentation,2591,documentation,2591,2654,"['documentation', 'build info', 'info schema', 'debug info', 'implementation detail', 'module info', 'type: documentation', 'domain: documentation', 'category: documentation', 'documentation generation', 'documentation needed', 'connection details']"
version upgrade,2,upgrade,2079,3764,"['dependency update', 'dependency upgrade', 'upgrade', 'framework upgrade', 'upgrades', 'update', 'language update', 'language upgrade', 'rolling upgrade', 'extension update', 'extension updates', 'upgrading', 'version', 'version management', 'type:dependency upgrade', 'version control', 'downgrade', 'version conflict', 'upgrade required', 'content update', 'version compatibility', 'version upgrade', 'upgrade regression', 'copyright update', 'dependencies upgrade', 'dependencies update']"
integration test,420,testing,1629,4233,"['test failure', 'testing', 'test', 'integration test', 'flaky', 'flaky test', 'test framework', 'spring test', 'test runner', 'integration tests', 'test failures', 'test infrastructure', 'test flaky', 'test suite', 'tests', 'pytorch test', 'smoke test', 'test explorer', 'test improvement', 'test missing', 'test related', 'compile test', 'test enhancement', 'unit testing', 'system tests', 'unit tests', 'svelte kit', 'unit test', 'test results', 'test coverage', 'runtime test', 'test case', 'test execution', 'unit test failure', 'test strategy', 'automation testing', 'test integration', 'test annotation', 'test flakiness', 'integration testing', 'domain: testing', 'testing failure', 'area: testing', 'topic: testing', 'testing infrastructure', 'snapshot testing', 'parallel testing', 'test porting', 'test flake', 'test logic', 'functional test', 'build test', 'functional tests', 'test environment', 'system test', 'integ test', 'test kit', 'randomized testing', 'integration test failure', 'test update', 'aggregation test', 'disabled test', 'script test', 'internal tests', 'skip test', 'test timeout', 'regression test', 'test order', 'flaky tests', 'test configuration', 'profile integ tests', 'concurrent test', 'aggregation tests', 'percentile test', 'metrics test', 'test context']"
rustc compiler,11,compiler,1145,5432,"['compiler', 'runtime', 'syntax', 'codegen', 'rustc', 'debugger', 'parser', 'async', 'segfault', 'cgo', 'debug', 'llvm', 'compiler behavior', 'debugging', 'formatting', 'toolchain', 'cmake', 'syscall', 'compiler internal', 'compiler warning', 'cpp', 'decompiler', 'gdb', 'autocomplete', 'parsing', 'lockfile', 'coroutines', 'unicode', 'deps', 'async await', 'formatter', 'runtime behavior', 'goroutine', 'compiler suggestion', 'runtime issue', 'syscalls', 'regex', 'compiler optimization', 'precompilation', 'rustc error', 'debuginfo', 'toml parser', 'debug console', 'syntax highlighting', 'stacktrace', 'mmap', 'utf8', 'msvc', 'async runtime', 'compilers', 'libc', 'posix', 'template syntax', 'unittest', 'cpp extension', 'pcre', 'libxml2', 'mbstring', 'assembler', 'compiler feedback', 'zlib', 'emscripten', 'compiler builtins', 'deserialization', 'disassembler', 'pcode', 'lldb', 'runtime performance', 'mutex', 'printf', 'ccache', 'async hooks', 'async storage', 'compiler diagnostics', 'compiler intrinsic', 'rpath', 'compiler warnings', 'compiler design', 'lexer', 'whitespace', 'pytorch compiler', 'openmp', 'async support', 'parser issue', 'compiler specific', 'gcc', 'stdlib', 'libxml', 'compiler compatibility', 'manpage', 'intellisense', 'subprocess', 'sendfile', 'goroutines', 'chdir', 'glibc', 'finalizers', 'parse', 'kqueue', 'stdin', 'debug build', 'readdir', 'postinstall', 'debug assertions', 'rustc book', 'compiler interaction', 'backtrace', 'compiler regression', 'async closures', 'rustc llvm', 'rustc internal', 'compiler message', 'verbose', 'sysroot', 'mingw', 'async programming', 'compiler feature', 'rustc internal error', 'async closure', 'runtime warning', 'devx', 'runtime dependency', 'cpp wrapper', 'query parser', 'delimiter', 'search syntax', 'runtime hints', 'runtime exception', 'coroutine', 'expression parser', 'makefile', 'autocompletion', 'pypy', 'entrypoint', 'toml parsing', 'iconv', 'dtrace', 'heredoc', 'futex', 'preprocessor', 'tokenizer', 'async load', 'async merge', 'rustc compiler', 'async execution', 'domain: compiler', 'language compiler', 'unmarshalling', 'stdio', 'compiler features', 'compiler implementation', 'dynamic compiler', 'async operation', 'cgo issue', 'unmarshaling', 'compiler optimizations', 'compiler assertion', 'runtime issues', 'domain: runtime', 'async local storage', 'async iterable', 'entrypoints', 'compiler interpretation', 'compiler configuration', 'rustc issue', 'invalid syntax', 'rustc warning', 'rustc panic', 'compiler verification', 'application runtime', 'software debugging', 'csharp', 'stdlib issue', 'runtime environment', 'fileinfo', 'syntax definition', 'edge runtime', 'argument parsing', 'ptrace', 'compiler diagnostic', 'unicode support', 'async issue', 'cpp backend', 'async collective tensor', 'executable', 'async enrich', 'async handling', 'async executor', 'async requests', 'version parsing', 'multibyte string', 'configuration parsing', 'builtin', 'multibyte', 'regexp', 'async test', 'asynchronous', 'unittest failure', 'bytecode', 'gcc compatibility', 'glibc compatibility', 'charset', 'metadata parsing', 'pthread', 'async recursion', 'dylib', 'utf8 error', 'reentrancy', 'template compiler', 'cpp compile error', 'cpp issue', 'destructors']"
feature request,2225,feature request,2225,2414,"['feature request', 'proposal', 'request body', 'feature proposal', 'pytorch feature request', 'request parameter', 'request', 'support request', 'type: feature request', 'type:feature request', 'category:feature request', 'category feature request', 'feature requests', 'request response', 'documentation request']"
ui,1340,ui,1340,3863,"['ui', 'ci', 'ux', 'os', 'fs', 'ui bug', 'io', 'ui issue', 'ci cd', 'ffi', 'gd', 'ci test failure', 'ui ux', 'ir', 'ci failure', 'pd', 'pe file', 'compiler rt', 'jakarta ee', 'ai', 'vm', 'ui enhancement', 'ui improvement', 'sse', 'vscode ui', 'web ui', 'ui feedback', 'ui tests', 'a rustdoc ui', 'ub', 'terminal ui', 'tp', 'ci test', 'ql', 'pe', 'pe format', 'dm', 'ui design', 'ui interaction', 'ui text', 'ui layout', 'os exec', 'os windows', 'ui rendering', 'es modules', 'os string', 'rnn', 'hud', 'mv', 'pytorch ir', 'ui component', 'java io', 'ci improvement', 'es', 'ci build', 'fs directory', 'io error', 'ui feature', 'os request', 'pr', 'os compatibility', 'pd api', 'elt', 'ci issue', 'qa', 'ui components', 'java ee', 'ux improvement', 'file io', 'ui behavior', 'topic: ci', 'domain: ui', 'llvm ir', 'domain: ci', 'ui customization', 'ti database', 'ux feedback', 'ui appearance', 'ld', 'os agnostic', 'lto', 'crates io', 'ux issue', 'editor ui', 'ui thread', 'es module', 'ui test', 'ci pipeline', 'ui automation', 'io exception', 'sse emitter', 'ui preview', 'target os', 'ui issues', 'ui suggestion', 'ci update', 'ui look and feel', 'ui upgrade', 'ui request', 'ui change', 'ci integration', 'ui a11y', 'os user', 'ci infrastructure', 'gd extension', 'ui glitch', 'os issue', 'os interface', 'os issues', 'ui bugs', 'async io', 'os incompatibility', 'ci system tests', 'sql es', 'gd library', 'po file']"
build configuration,4,build,895,1938,"['build', 'build system', 'tooling', 'build failure', 'build process', 'build issue', 'build performance', 'build tooling', 'build related', 'build issues', 'release build', 'build script', 'builder', 'build backend', 'build isolation', 'incremental build', 'domain: tooling', 'domain: build', 'build configuration', 'rebuild', 'production build', 'package build', 'build problem', 'windows build', 'canary build', 'helper', 'build output', 'build pack', 'build helper']"
error,270,compiler error,493,2621,"['compiler error', 'runtime error', 'error', 'compile error', 'type error', 'error message', 'error handling', 'linker', 'compilation error', 'build error', 'import error', 'assertion error', 'internal error', 'compile time error', 'compiler errors', 'errors', 'error reporting', 'parse error', 'syntax error', 'runtime errors', 'server error', 'parsing error', 'upload error', 'fatal error', 'compiler internal error', 'import errors', 'internal compiler error', 'error page', 'validation error', 'attribute error', 'parser error', 'script error', 'transient errors', 'logic error', 'function error', 'linker error', 'region error', 'error report', 'linker issue', 'javascript error', 'unexpected error', 'internal server error', 'error messages', 'evaluation error', 'type: error message', 'allocation error', 'logical error', 'invalid program', 'linking error', 'linker problem', 'programming error', 'database error', 'recursive error', 'torch runtime error', 'recursion error', 'memory error', 'network error', 'bounds error', 'error suggestion', 'content error', 'filesystem error', 'binding errors', 'ubsan error', 'sanitizer error', 'correction']"
