Label,Count
bug,8937
java,1842
spring-boot,1425
testing,1143
performance,1133
documentation,776
database,739
dependency-upgrade,658
feature-request,656
configuration,627
upgrade,607
pytorch,586
ui,553
compiler,542
javascript,487
crash,463
enhancement,434
type-system,433
optimization,362
python,355
security,340
spring,339
editor,328
elasticsearch,327
build,326
spring-framework,317
framework,301
sql,289
dependency-management,280
compiler-bug,262
rustc,261
dependencies,248
ci,239
runtime,237
test,235
library,230
language-feature,210
runtime-error,207
package-management,207
user-interface,194
web,194
feature,188
api,187
logging,184
error-handling,178
terminal,173
http,172
compilation,172
language,171
typescript,169
test-failure,168
angular,163
user-experience,162
math,159
error,154
deno,153
go,152
dynamo,148
svelte,147
ice,147
rendering,146
language-features,145
debugging,140
cuda,140
concurrency,138
integration,137
tensor,133
extension,128
compatibility,128
css,126
infrastructure,125
dependency,122
integration-test,122
windows,120
core,120
php,119
cli,116
tooling,116
regression,115
network,115
memory-management,112
metrics,112
torch,108
storage,107
installation,106
syntax,105
docker,104
docs,104
panic,103
internal-error,102
maven,102
type:-enhancement,101
plugin,100
gpu,98
vuetify,98
filesystem,97
stdlib,97
gradle,96
error-message,95
layout,92
cpu,92
type:-bug,91
gopls,89
issue,88
memory-leak,87
validation,86
cache,85
build-tool,85
autograd,85
vscode,83
tidb,83
search,81
inductor,79
build-system,78
tracing,78
crypto,77
component,75
c++,75
maintenance,74
nextjs,74
build-failure,74
spring-data,74
type:bug,73
jit,73
accessibility,71
file-system,71
spring-integration,71
server,70
spring-boot-features,70
failure,69
performance-issue,68
linting,68
dependency-injection,68
json,65
async,63
authentication,62
ux,62
nodejs,62
zend-engine,62
code-quality,60
serialization,60
completion,59
linux,59
template,59
assertion-failure,59
deep-learning,59
refactoring,58
settings,57
navigation,57
metadata,57
tailwindcss,57
esql,57
type-checking,56
language-design,56
diagnostics,56
kotlin,56
gui,54
os,54
memory-safety,53
parser,53
vue,52
reactor,52
ui-component,51
compilation-error,51
golang,51
uv,51
telemetry,50
editing,50
networking,50
encoding,50
sync,50
memory,50
dependency-resolution,50
type-bug,49
programming-language,49
api-design,49
warning,49
pytorch-core,49
codegen,48
language-server,47
android,47
indexing,47
aot,47
ci-failure,47
repository,47
ghidra,47
markdown,46
dom,46
functionality,46
analysis,46
rustdoc,46
type:-feature-request,45
migration,45
routing,45
import,45
exception,44
segfault,44
reflection,44
exception-handling,44
vimscript,44
input,43
caching,43
ios,43
generics,42
flaky-test,42
std,42
assertion-error,42
properties,42
build-issue,41
xml,41
bug-report,41
onnx,41
spel,41
permissions,40
linker,40
ssl,40
x-pack,40
proposal,39
graphql,39
lifetime,39
trait,39
traits,39
git,38
net,38
integer-overflow,38
react-native,38
kafka,38
debugger,37
chat,37
ide,37
deprecation,37
formatting,37
cmd/go,37
jdbc,37
macos,36
environment,36
development,36
multithreading,36
compiler-error,36
lint,36
distributed-training,36
spring-security,36
frontend,35
rust,35
release-management,35
html,35
export,35
type-inference,35
desktop,35
library-issue,35
backend,35
command-line,34
content,34
type-mismatch,34
pattern-matching,34
llvm,34
machine-learning,34
spring-boot-feature,34
tomcat,34
query,34
retry,33
trait-implementation,33
inference,33
typing,32
image,32
cgo,32
cross-compilation,32
internal-compiler-error,32
native-image,32
opcache,32
behavior,31
type:enhancement,31
unix,31
versioning,31
scripting,31
reactive-programming,31
torch.compile,31
auto-configuration,31
keyboard-shortcuts,30
syntax-highlighting,30
algorithm,30
standard-library,30
tensor-operations,30
library-upgrade,29
github-actions,29
fzf,29
pip,29
php-core,29
garbage-collection,28
timeout,28
macro,28
code-generation,27
deployment,27
parsing,27
statistics,27
enum,27
spring-projects,27
ldap,27
neo4j,27
rest-api,27
workspace,26
iterator,26
project-management,26
ci-issue,26
http-client,26
release,26
dependency-issue,26
styling,25
scrolling,25
performance-optimization,25
general,25
net/http,25
type/bug,25
profiling,25
mobile,25
rust-language,25
netty,25
pulsar,25
rest,25
webflux,25
file-management,24
design,24
client,24
resource-management,24
linking,24
r2dbc,24
keyboard,23
assertion,23
tls,23
go-tooling,23
io,23
data-race,23
website,23
cleanup,23
unstable-feature,23
rust-compiler,23
mir,23
vim,23
reactivity,23
memory-access,23
triton,23
query-optimization,23
partitioning,23
shell,22
go-tool,22
gc,22
floating-point,22
unstable-features,22
torchscript,22
distributed-computing,22
mysql,22
hibernate,22
transaction,22
ddl,22
extensions,21
debug,21
console,21
update,21
cmd,21
scheduler,21
bootstrap,21
download,21
vite,21
binding,21
const-eval,21
nn,21
bean-management,21
spring-session,21
monitoring,21
aop,21
query-language,21
async-programming,20
experimental-feature,20
turbopack,20
toolchain,20
overflow,20
abi,20
crates,20
index,20
tensor-operation,20
data-type,20
aggregation,20
domain:-testing,19
event-listener,19
internationalization,19
unicode,19
typo,19
redirect,19
module,19
protocol,19
deadlock,19
ast,19
template-engine,19
deno-cli,19
closure,19
cudnn,19
quantization,19
spring-core,19
bean-definition,19
tikv,19
workflow,18
focus,18
customization,18
accuracy,18
consistency,18
package-manager,18
threading,18
assembly,18
regex,18
mongodb,18
aten,18
cnn,18
rabbitmq,18
groovy,18
annotation,18
xpack,18
qa,18
backup,18
annotations,17
interaction,17
synchronization,17
event-handling,17
process-management,17
display,17
reference,17
hydration,17
types,17
bugs,17
gdb,17
portability,17
generic-programming,17
datetime,17
conversion,17
