Label,is_non_descriptive_label
ABI,
audit-report,
big,
bikeshedding,
blocked,
breaking,
bug,
ci,
cla:missing,
cla:signed,
code quality,
compiler,
compiler: codegen,
compiler: collection,
compiler: frontend,
compiler: ir,
compiler: optimization,
compiler: parser,
compiler: performance-data,
compiler: static-analysis,
compiler: ui,
compiler:debug-info,
DCA,
dependencies,
dev-experience,
do not close,True
documentation,
duplicate,
enhancement,
epic,
EVM,
forc,
forc-call,
forc-client,
forc-debug,
forc-deploy,
forc-doc,
forc-mcp,
forc-migrate,
forc-node,
forc-pkg,
forc-publish,
forc-registry,
forc-submit,
forc-test,
forc-tracing,
forc-tx,
formatter,
good first issue,True
language feature,
language server,
lib: core,
lib: std,
logging,
may be rewarded,True
MidenVM,
Migrated,
Needs RFC,
ODHack12,
ODHack13,
P: critical,True
P: high,True
P: low,True
P: medium,True
performance,
release,
storage,
team:compiler,
team:tooling,
testing,
The Sway Book,
The Sway Reference,
tracking-issue,
triage,
waiting on rust feature,True
