Label,is_non_descriptive_label
Feature: Accessibility,
Feature: Analysis,
Feature: API,
Feature: Assembler,
Feature: Batch Importer,
Feature: Bitfields,
Feature: BSim,
Feature: Build,
Feature: Byte Viewer,
Feature: C-Parser,
Feature: cspec,
Feature: Data,
Feature: Data Types,
Feature: Database,
Feature: Debugger,
Feature: Decompiler,
Feature: Demangler,
Feature: Documentation,
Feature: DWARF,
Feature: Eclipse,
Feature: Emulation,
Feature: Exporter,
Feature: Exporter/Binary,
Feature: Exporter/C,
Feature: Extensions,
Feature: FID,
Feature: Filesystem,
Feature: Functions,
Feature: ghidra.jar,
Feature: Graphing,
Feature: GUI,
Feature: GUI/Keybinds,
Feature: GUI/Theming,
Feature: Headless,
Feature: IDA Pro,
Feature: Language/C++,
Feature: Language/Go,
Feature: Language/Objective-C,
Feature: Language/Rust,
Feature: Language/Swift,
Feature: Language/Zig,
Feature: Launch,
Feature: Loader,
Feature: Loader/Binary,
Feature: Loader/COFF,
Feature: Loader/DEF,
Feature: Loader/DumpFile,
Feature: Loader/DYLD,
Feature: Loader/ELF,
Feature: Loader/Mach-O,
Feature: Loader/MZ,
Feature: Loader/NE,
Feature: Loader/OMF,
Feature: Loader/PE,
Feature: Loader/PEF,
Feature: Loader/XML,
Feature: Machine Learning,
Feature: Memory,
Feature: Multi-User Merge,
Feature: PCODE,
Feature: PDB,
Feature: Platform/Linux,
Feature: Platform/macOS,
Feature: Platform/Windows,
Feature: Processor,
Feature: Processor/6502,
Feature: Processor/68000,
Feature: Processor/8051,
Feature: Processor/8085,
Feature: Processor/AARCH64,
Feature: Processor/ARM,
Feature: Processor/Atmel,
Feature: Processor/BPF,
Feature: Processor/CP1600,
Feature: Processor/CR16,
Feature: Processor/eBPF,
Feature: Processor/HCS08,
Feature: Processor/HCS12,
Feature: Processor/JVM,
Feature: Processor/Loongarch,
Feature: Processor/M16C,
Feature: Processor/MC6800,
Feature: Processor/MCS-96,
Feature: Processor/MIPS,
Feature: Processor/PA-RISC,
Feature: Processor/PIC,
Feature: Processor/PowerPC,
Feature: Processor/RISC-V,
Feature: Processor/Sparc,
Feature: Processor/SuperH,
Feature: Processor/TI_MSP430,
Feature: Processor/Tricore,
Feature: Processor/v850,
Feature: Processor/x86,
Feature: Processor/Xtensa,
Feature: Processor/Z80,
Feature: Program Tree,
Feature: Python/API,
Feature: Python/PyGhidra,
Feature: Script Manager,
Feature: Scripting,
Feature: Segmented Addresses,
Feature: Selection,
Feature: Server,
Feature: Sleigh,
Feature: Structure Editor,
Feature: Symbol Table,
Feature: Symbol Tree,
Feature: Testing,
Feature: Tool,
Feature: Version Tracking,
Feature: VSCode,
Feature: Website,
Features: Python/Jython,
Reason: Cannot Fix,True
Reason: Cannot Reproduce,True
Reason: Duplicate,True
Reason: Inactivity,True
Reason: Internal effort,True
Reason: Internal-only,True
Reason: Invalid,True
Reason: Level of effort,True
Reason: OBE,True
Reason: Out of scope,True
Reason: Won't support,True
Reason: Working as intended,True
Status: Future,True
Status: Help Wanted,True
Status: Internal,True
Status: Prioritize,True
Status: Triage,True
Status: Waiting on customer,True
Type: Bug,
Type: Enhancement,
Type: JDK Bug,
Type: Performance,
Type: Platform Bug,
Type: Question,
Type: Security,
Type: Spelling/Typo,
