Label,is_non_descriptive_label
--watch,
2.0 feedback,
ai:generate-pr,
ai:triage,
auto-install,
backport:1.46,
benchmarks,
breaking change,
bug,
build,
bundler-resolution,
chore,
ci-bench,
ci-draft,
ci-full,
ci-node-test,
ci-test-flaky,
ci-wpt-test,
cli,
compile,
config,
crypto,
custom runtime,
debugger,
declined,
deno fmt,
deno info,
deno jupyter,
deno_core,
deno-bundle,
dependencies,
design limitation,
devdependencies,
docs,
duplicate,True
dx,
embedder,
ext/console,
ext/cron,
ext/crypto,
ext/fetch,
ext/fs,
ext/http,
ext/kv,
ext/net,
ext/url,
ext/web,
ext/websocket,
feat,
FFI,
fix available,True
flaky,
gitstart,
good first issue,True
help wanted,True
high priority,True
important for fresh,True
install,
invalid,True
jsr,
jsx-precompile,
lint,
linux,
lsp,
macos,
needs discussion,True
needs info,True
needs investigation,True
needs triage,True
nextgen,
nextjs,
node API,
node compat,
node native extension,
node resolution,
node:cluster,
node:http,
node:sqlite,
node:test,
node:v8,
node:vm,
otel,
outdated,True
panic,
patch,
peerDependencies,
perf,
permissions,
pr:2.0,
public API,
publish,
question,
quic,
quick fix,True
refactor,
regression,
repl,
resolution,
runtime,
rust,
serve,
stale,
std,
streams,
suggestion,
swc,
task runner,
temporal,
testing,
tests,
tls,
triage required 👀,True
tsc,
tsgo,
types,
upstream,
user feedback wanted,True
v8,
vendor,
wasm,
web,
webgpu,
windows,
working as designed,True
workspaces,
