Label,is_non_descriptive_label
:Analytics/Aggregations,
:Analytics/Compute Engine,
:Analytics/EQL,
:Analytics/ES|QL,
:Analytics/Geo,
:Analytics/SQL,
:Clients/Java Low Level REST Client,
:Core/Infra/Circuit Breakers,
:Core/Infra/CLI,
:Core/Infra/Core,
:Core/Infra/Entitlements,
:Core/Infra/Logging,
:Core/Infra/Metrics,
:Core/Infra/Node Lifecycle,
:Core/Infra/Plugins,
:Core/Infra/Resiliency,
:Core/Infra/REST API,
:Core/Infra/Scripting,
:Core/Infra/Settings,
:Core/Infra/Transport API,
:Data Management/CAT APIs,
:Data Management/Data streams,
:Data Management/HDFS,
:Data Management/Health,
:Data Management/ILM+SLM,
:Data Management/Indices APIs,
:Data Management/Ingest Node,
:Data Management/Monitoring,
:Data Management/Stats,
:Data Management/Watcher,
:Delivery/Build,
:Delivery/Cloud,
:Delivery/Packaging,
:Delivery/Tooling,
:Distributed Coordination/Allocation,
:Distributed Coordination/Autoscaling,
:Distributed Coordination/Cluster Coordination,
:Distributed Coordination/Discovery-Plugins,
:Distributed Coordination/Distributed,
:Distributed Coordination/Network,
:Distributed Coordination/Snapshot/Restore,
:Distributed Coordination/Task Management,
:Distributed Indexing/CCR,
:Distributed Indexing/CRUD,
:Distributed Indexing/Distributed,
:Distributed Indexing/Engine,
:Distributed Indexing/Recovery,
:Distributed Indexing/Reindex,
:Distributed Indexing/Searchable Snapshots,
:Distributed Indexing/Store,
:EnterpriseSearch/Application,
:Logstash/Bridge,
:Logstash/CPM,
:ml,
:ml/Chunking,
:ml/ES|QL,
:ml/esql,
:ml/Transform,
:Performance,
:Search Foundations/CCS,
:Search Foundations/Mapping,
:Search Foundations/Search,
:Search Relevance/Analysis,
:Search Relevance/ES|QL,
:Search Relevance/Highlighting,
:Search Relevance/Percolator,
:Search Relevance/Ranking,
:Search Relevance/Search,
:Search Relevance/Suggesters,
:Search Relevance/Vectors,
:Search/Search,
:SearchOrg/Experiences,
:SearchOrg/Extract&Transform,
:SearchOrg/Inference,
:SearchOrg/Relevance,
:Security/Audit,
:Security/Authentication,
:Security/Authorization,
:Security/AutoConfiguration,
:Security/Client,
:Security/FIPS,
:Security/IdentityProvider,
:Security/License,
:Security/Profile,
:Security/Security,
:Security/TLS,
:StorageEngine/Codec,
:StorageEngine/Downsampling,
:StorageEngine/ES|QL,
:StorageEngine/Logs,
:StorageEngine/Mapping,
:StorageEngine/Rollup,
:StorageEngine/TSDB,
:UniversalProfiling/Application,
:UniversalProfiling/Resource Management,
>breaking,
>breaking-java,
>bug,
>deprecation,
>docs,
>enhancement,
>feature,
>new-aggregation,
>new-field-mapper,
>non-issue,
>refactoring,
>regression,
>tech debt,
>test,
>test-failure,
>test-mute,
>upgrade,
auto-backport,
auto-merge-without-approval,True
Awaiting CLA,True
backport,
backport pending,True
blocker,True
branch:8.19,True
branch:9.1,True
branch:9.2,True
build-benchmark,
build-performance,
buildkite-opt-in,
cloud-deploy,
critical,
das awesome,
dependencies,
Dependency:Endpoint,
Dependency:SIEM,
discuss,True
docs-edit-applies-tags,
docs-missing-applies-tags,
documentation,
EnableJiraSync,
ES|QL-ergonomics,
ES|QL-ui,
experimental/beta,
external-contributor,
Feature:Data Frame Analytics,
Feature:ES|QL,
Feature:GenAI,
Feature:NLP,
Feature:Upgrade Assistant,
feedback_needed,True
good first issue,True
help wanted,True
high hanging fruit,True
impact:high,True
Initiative:MakeItSlow,
jdk10,
jdk11,
jdk12,
jdk9,
jvm bug,
logsdb,
low-risk,True
lucene_10_3_dev,
lucene_10_4_dev,
medium-risk,True
Meta,
modularization,
needs_team,True
needs:reproduction,True
needs:risk,True
needs:triage,True
