Label,is_non_descriptive_label
Access,
AccessRequest,
allstar,
Analysis,
arch-386,
arch-amd64,
arch-arm,
arch-arm64,
arch-loong64,
arch-mips,
arch-ppc64x,
arch-riscv,
arch-s390x,
arch-wasm,
automatedReport,
Automation,
Backport,
BadErrorMessage,
binary-size,
BugReport,
Builders,
CherryPickApproved,True
CherryPickCandidate,True
cla: no,True
cla: yes,True
Community,
compiler/runtime,
compiler/telemetry-wins,
Critical,True
Debugging,
dependencies,
DevExp,
Documentation,
dotdotdot,True
early-in-cycle,True
error-handling,
ExpertNeeded,
FeatureRequest,
FixPending,True
Friction,
FrozenDueToAge,True
fuzz,
gabywins,
GarbageCollector,
generics,
GoCommand,
gopls,
gopls/analysis,
gopls/completion,
gopls/file-corruption,
gopls/generics,
gopls/imports,
gopls/incremental,
gopls/memory-corruption,
gopls/metadata,
gopls/parsing,
gopls/performance,
gopls/survey-candidate,
gopls/telemetry,
gopls/telemetry-wins,
gopls/workspace,
help wanted,True
Implementation,
invalid,True
LanguageChange,
LanguageChangeReview,
LanguageProposal,
LibraryProposal,
mobile,
modules,
NeedsDecision,True
NeedsFix,True
NeedsInvestigation,True
new-builder,
okay-after-beta1,True
okay-after-rc1,True
OS-AIX,
OS-Android,
OS-Darwin,
OS-Dragonfly,
OS-FreeBSD,
OS-Fuchsia,
OS-illumos,
OS-iOS,
OS-JS,
OS-Linux,
OS-NaCl,
OS-NetBSD,
OS-OpenBSD,
OS-Plan9,
OS-Solaris,
OS-Windows,
Other,
package-management,
Performance,
pkgsite,
pkgsite/cmd,
pkgsite/dochtml,
pkgsite/frontend,
pkgsite/license,
pkgsite/package-removal,
pkgsite/search,
Proposal,
Proposal-Accepted,True
Proposal-Crypto,
Proposal-FinalCommentPeriod,True
Proposal-Hold,True
Proposal-Security,
proxy.golang.org,
Question,
RaceDetector,
recurring,
Refactoring,
release-blocker,True
Scalability,
Security,
Soon,True
Suggested,
telemetry,
Telemetry-Accepted,True
Telemetry-Declined,True
Telemetry-Proposal,
TelemetryProposal,
Testing,
Thinking,
ToolProposal,
Tools,
ToolSpeed,
TypeInference,
umbrella,
Unfortunate,True
upstream-tools,
UX,
v2,True
Vendoring,
vulncheck or vulndb,
WaitingForInfo,True
website,
WorkingAsIntended,True
x/vuln,
