Label,is_non_descriptive_label
accessibility,
android,
api,
as designed,True
automerge,
backlog,
bug,
cannot reproduce,True
ci,
cli,
clipper,
database,
desktop,
documentation,
draw,
editor,
enhancement,
export,
good first issue,True
high,
import,
iOS,
linux,
macOS,
markdown-editor,
medium,
mobile,
multi-window,
OCR,
performance,
plugins,
renderer,
search,
security,
server,
Sharing,
solution,
spec,
stale,
sync,
tags,
transcribe,
translation,
upstream,
v3.3,True
v3.4,True
v3.5,True
Voice typing,
web,
windows,
