Label,is_non_descriptive_label
⛺ Reserved,True
A11yCO,
A11yMAS,
A11ySev1,
A11ySev2,
A11ySev3,
A11yTTValidated,
A11yUsable,
A11yVoiceAccess,
A11yWCAG,
Area-Accessibility,
Area-AtlasEngine,
Area-AzureShell,
Area-Build,
Area-Chat,
Area-CmdPal,
Area-CodeHealth,
Area-Commandline,
Area-CookedRead,
Area-DefApp,
Area-Extensibility,
Area-Fonts,
Area-GroupPolicy,
Area-i18n,
Area-Input,
Area-Interaction,
Area-Interop,
Area-Localization,
Area-Output,
Area-Performance,
Area-Portable,
Area-Quality,
Area-Remoting,
Area-Rendering,
Area-Schema,
Area-Server,
Area-Settings,
Area-SettingsUI,
Area-ShellExtension,
Area-Suggestions,
Area-TerminalConnection,
Area-TerminalControl,
Area-Theming,
Area-UserInterface,
Area-VT,
Area-Windowing,
Area-WPFControl,
AutoMerge,
Automerge-Not-Compatible,
Blocking-Ingestion,
Culprit-Centennial,
Culprit-WinUI,
dependencies,
Disability-All,
Disability-Blind,
Disability-LowVision,
Disability-Mobility,
External-Blocked-WinUI3,
Fixed,
GADate-202304,
Gathering-Data,
good first issue,True
hacktoberfest-accepted,True
HCL-E+D,
HCL-WindowsConsole,
HCL-WindowsTerminal,
Help Wanted,True
Impact-Compatibility,
Impact-Compliance,
Impact-Correctness,
Impact-Visual,
In-PR,
InclusionBacklog,
InclusionBacklog-Windows TerminalWin32,
InclusionCommitted-202206,True
InclusionCommitted-202207,True
Issue-Bug,
Issue-Docs,
Issue-Feature,
Issue-Question,
Issue-Samples,
Issue-Scenario,
Issue-Task,
Mass-Chaos,True
Needs-Attention,True
Needs-Author-Feedback,True
Needs-Bisect,True
Needs-Discussion,True
Needs-Repro,True
Needs-Second,True
Needs-Tag-Fix,True
Needs-Triage,True
No-Recent-Activity,True
Priority-0,True
Priority-1,True
Priority-2,True
Priority-3,True
Product-Cmd.exe,
Product-Colortool,
Product-Conhost,
Product-Conpty,
Product-Meta,
Product-Powershell,
Product-Terminal,
Product-WSL,
Resolution-Answered,True
Resolution-By-Design,True
Resolution-Duplicate,True
Resolution-External,True
Resolution-Fix-Available,True
Resolution-Fix-Committed,True
Resolution-No-Repro,True
Resolution-Won't-Fix,True
Severity-Blocking,True
Severity-Crash,True
Severity-DataLoss,True
spam,
this-will-be-a-breaking-change,True
Tracking-External,
UnshippedFeature,
WindowsTerminal_Win32,
Work-Item,
zAskModeBug,
zBugBash-Consider,
zInbox-Bug,
