Label,is_non_descriptive_label
abortcontroller,
addons,
aix,
android,
arm,
assert,
async_hooks,
async_local_storage,
author ready,True
backport-blocked-v20.x,True
backport-blocked-v22.x,True
backport-blocked-v24.x,True
backport-blocked-v25.x,True
backport-open-v20.x,True
backport-open-v22.x,True
backport-open-v24.x,True
backport-open-v25.x,True
backport-requested-v20.x,True
backport-requested-v22.x,True
backport-requested-v24.x,True
backport-requested-v25.x,True
backported-to-v20.x,True
backported-to-v22.x,True
backported-to-v24.x,True
backported-to-v25.x,True
baking-for-lts,
benchmark,
blocked,True
brotli,
buffer,
build,
build-agenda,
c++,
cares,
child_process,
cli,
cluster,
code-and-learn,
commit-queue,
commit-queue-failed,True
commit-queue-rebase,True
commit-queue-squash,True
config,
confirmed-bug,True
console,
coverage,
crypto,
debugger,
dependencies,
deprecations,
dgram,
diag-agenda,
diagnostics_channel,
discuss,True
dns,
doc,
domain,
dont-land-on-v20.x,True
dont-land-on-v22.x,True
dont-land-on-v24.x,True
dont-land-on-v25.x,True
dotenv,
duplicate,
embedding,
encoding,
errors,
esm,
events,
eventtarget,
experimental,
fast-track,
feature request,
fetch,
flaky-test,
freebsd,
fs,
github_actions,
good first issue,True
gyp,
help wanted,True
http,
http_parser,
http2,
https,
i18n-api,
ibm i,
icu,
inspector,
install,
invalid,
javascript,
known limitation,True
lib / src,
libuv,
linux,
loaders,
loaders-agenda,
loong64,
lts,
lts-watch-v20.x,True
lts-watch-v22.x,True
lts-watch-v24.x,True
macos,
memory,
meta,
mips,
module,
modules-agenda,
needs more info,True
needs-benchmark-ci,True
needs-ci,True
needs-citgm,True
net,
never-stale,True
next-10-agenda,
node-api,
node-api-semver-major,
notable-change,True
npm,
openssl,
os,
path,
perf_hooks,
performance,
performance-agenda,
permission,
policy,
post-mortem,True
ppc,
process,
promises,
punycode,
python,
querystring,
question,
quic,
readline,
realm,
regression,
release,
release-agenda,
repl,
report,
request-ci,
request-ci-failed,True
revert,
review wanted,True
riscv64,
s390x,
security,
security-wg-agenda,
semver-major,
semver-minor,
shared_lib,
single-executable,
smartos,
snapshot,
source maps,
sqlite,
stale,
stalled,
stdio,
stream,
string_decoder,
strip-types,
test,
test_runner,
test-action,
test-stale-pr,
timers,
tls,
tools,
trace_events,
tsc-agenda,
tty,
typescript-agenda,
typings,
url,
util,
uvwasi-agenda,
v18.x,True
v20.x,True
v22.x,True
v24.x,True
v25.x,True
v8 engine,
v8 module,
v8 platform,
vm,
wasi,
wasm,
watch-mode,
web streams,
web-standards,
webcrypto,
whatwg-url,
whatwg-urlpattern,
windows,
wip,True
wontfix,True
worker,
wrong repo,True
wsl,
zlib,
