Label,is_non_descriptive_label
ABI break,
Bug,
Category: Arrays,
Category: Build System,
Category: CI,
Category: Configuration,
Category: DNS,
Category: Documentation,
Category: Dynamic Loading,
Category: Engine,
Category: Fibers,
Category: Filesystem,
Category: GC,
Category: Generators,
Category: JIT,
Category: Logging,
Category: Math,
Category: Network,
Category: Optimizer,
Category: Output,
Category: Program Execution,
Category: SAPI,
Category: Serialization,
Category: Streams,
Category: Strings,
Category: Tests,
Category: TSRM,
Category: Website,
Extension: bcmath,
Extension: bz2,
Extension: calendar,
Extension: com_dotnet,
Extension: ctype,
Extension: curl,
Extension: date,
Extension: dba,
Extension: dom,
Extension: enchant,
Extension: exif,
Extension: ffi,
Extension: fileinfo,
Extension: filter,
Extension: ftp,
Extension: gd,
Extension: gettext,
Extension: gmp,
Extension: hash,
Extension: iconv,
Extension: imap,
Extension: intl,
Extension: json,
Extension: ldap,
Extension: libxml,
Extension: mbstring,
Extension: mysqli,
Extension: mysqlnd,
Extension: oci8,
Extension: odbc,
Extension: opcache,
Extension: openssl,
Extension: pcntl,
Extension: pcre,
Extension: pdo (core),
Extension: pdo_dblib,
Extension: pdo_firebird,
Extension: pdo_mysql,
Extension: pdo_oci,
Extension: pdo_odbc,
Extension: pdo_pgsql,
Extension: pdo_sqlite,
Extension: pgsql,
Extension: phar,
Extension: posix,
Extension: pspell,
Extension: random,
Extension: readline,
Extension: reflection,
Extension: session,
Extension: shmop,
Extension: simplexml,
Extension: snmp,
Extension: soap,
Extension: sockets,
Extension: sodium,
Extension: spl,
Extension: sqlite3,
Extension: standard,
Extension: sysvmsg,
Extension: sysvsem,
Extension: sysvshm,
Extension: tidy,
Extension: tokenizer,
Extension: uri,
Extension: xml,
Extension: xmlreader,
Extension: xmlwriter,
Extension: xsl,
Extension: zend_test,
Extension: zip,
Extension: zlib,
Feature,
hacktoberfest-accepted,
OS: Alpine / Musl,
OS: FreeBSD,
OS: Illumos,
OS: Linux,
OS: macOS,
OS: Windows,
Parameter names,
Proof of Concept,True
Quickfix,True
Refactoring,
RFC,
SAPI: apache2handler,
SAPI: cgi,
SAPI: cli,
SAPI: cli_server,
SAPI: embed,
SAPI: fpm,
SAPI: fuzzer,
SAPI: litespeed,
SAPI: phpdbg,
Security,
Stale,True
Status: Cannot Reproduce,True
Status: Duplicate,True
Status: Fixed in Third Party Library,True
Status: Invalid,True
Status: Needs Feedback,True
Status: Needs Tests,True
Status: Needs Triage,True
Status: Requires RFC,True
Status: Spam,True
Status: Verified,True
Status: Waiting for Third Party Library Fix,True
Status: Won't Fix,True
STF: Streams,
Stubs,
Tentative returns,
Type Information,
Waiting on Author,True
Waiting on Review,True
Waiting on RM,True
Warning promotion,
ZTS,
