Label,is_non_descriptive_label
actionable,True
advanced,True
aggregate flaky test issue,
arm priority,
autoformat,
autorevert: disable,
awaiting response (this tag is deprecated),True
base pinned,
better-engineering,
better-on-discuss-forum,True
Blackwell,
broken-link,True
caffe2,
caffe2-op,
cherry-picked,
ci-force-rebuild,
ci-no-td,
ci-no-test-timeout,
ci-scribe,
ci-td-distributed,
ci-test-showlocals,
ci-verbose-test-logs,
ci: disable-autorevert,
ci: sev,
ci: sev-infra.autoscale,
ci: sev-infra.os,
ci: sev-infra.pet,
ci: sev-infra.thirdparty,
ci: sev-mitigated,
ci/abi-check,
ciflow/android,
ciflow/b200,
ciflow/b200-symm-mem,
ciflow/binaries,
ciflow/binaries_libtorch,
ciflow/binaries_wheel,
ciflow/dynamo,
ciflow/h100,
ciflow/h100-cutlass-backend,
ciflow/h100-distributed,
ciflow/h100-symm-mem,
ciflow/inductor,
ciflow/inductor-cu124,
ciflow/inductor-cu126,
ciflow/inductor-micro-benchmark,
ciflow/inductor-micro-benchmark-cpu-x86,
ciflow/inductor-perf-compare,
ciflow/inductor-perf-test-nightly,
ciflow/inductor-perf-test-nightly-rocm-mi300,
ciflow/inductor-perf-test-nightly-rocm-mi355,
ciflow/inductor-perf-test-nightly-x86-zen,
ciflow/inductor-perf-test-nightly-xpu,
ciflow/inductor-periodic,
ciflow/inductor-rocm,
ciflow/inductor-rocm-mi200,
ciflow/inductor-rocm-mi300,
ciflow/inductor-windows,
ciflow/linux-aarch64,
ciflow/mps,
ciflow/nightly,
ciflow/op-benchmark,
ciflow/periodic,
ciflow/periodic-rocm-mi200,
ciflow/periodic-rocm-mi300,
ciflow/pull,
ciflow/quantization-periodic,
ciflow/riscv64,
ciflow/rocm,
ciflow/rocm-mi200,
ciflow/rocm-mi300,
ciflow/rocm-mi355,
ciflow/rocm-navi31,
ciflow/s390,
ciflow/slow,
ciflow/split-build,
ciflow/torchao,
ciflow/torchbench,
ciflow/triton_binaries,
ciflow/trunk,
ciflow/unstable,
ciflow/vllm,
ciflow/win-arm64,
ciflow/xpu,
cla signed,
codex,
compile-cache,
compile-docs,
complex_autograd,
core issue,
csprng,
data dependent error,
days,
dependencies,
dependency issue,
detect-test-pollution-nack,
distributed-backlog,
