Label,is_non_descriptive_label
-Clink-dead-code,
-Cprefer-dynamic,
-Zbuild-std,
-Zcrate-attr,
-Zdebuginfo-compression,
-Zdump-mir,
-Zdwarf-version,
-Zfixed-x18,
-Zfmt-debug,
-Zhint-mostly-unused,
-Zindirect-branch-cs-prefix,
-Zinline-mir,
-Zllvm-plugins,
-Zmetrics-dir,
-Zno-link,
-Znormalize-docs,
-Zpolymorphize,
-Zrandomize-layout,
-Zreg-struct-return,
-Zregparm,
-Zshare-generics,
-Zterminal-urls,
-Zthir-unsafeck,
-Ztrace-macros,
-Zvalidate-mir,
A-a11y,
A-ABI,
A-align,
A-allocators,
A-array,
A-associated-items,
A-AST,
A-async-await,
A-async-closures,
A-atomic,
A-attributes,
A-auto-traits,
A-autovectorization,
A-backtrace,
A-binary-formats,
A-bootstrap-config,
A-bootstrap-profiling,
A-bootstrap-stages,
A-bootstrap-stamp,
A-bootstrap-tracing,
A-bootstrap-vendoring,
A-borrow-checker,
A-box,
A-cfg,
A-CI,
A-CLI,
A-closures,
A-code-coverage,
A-codegen,
A-coercions,
A-coherence,
A-coinduction,
A-collections,
A-compiler-builtins,
A-compiletest,
A-compiletest-annotations,
A-compiletest-compare-modes,
A-compiletest-directives,
A-compiletest-normalizations,
A-concurrency,
A-const-eval,
A-const-generics,
A-const-prop,
A-constant-promotion,
A-contributor-roadblock,
A-control-flow,
A-control-flow-integrity,
A-coroutines,
A-cranelift,
A-crate-compat,
A-crates,
A-cross,
A-cross-crate-reexports,
A-debuggers,
A-debuggers-cdb,
A-debuggers-lldb,
A-debuginfo,
A-decl-macros-1-2,
A-decl-macros-2-0,
A-destructors,
A-diagnostics,
A-dist-components,
A-doc-alias,
A-doc-coverage,
A-docs,
A-doctests,
A-download-rustc,
A-driver,
A-DSTs,
A-dyn-compatibility,
A-dyn-trait,
A-dynamic-library,
A-edition-2015,True
A-edition-2018,True
A-edition-2021,True
A-edition-2024,True
A-edition-2027,True
A-editions,
A-enum,
A-error-codes,
A-error-handling,
A-exhaustiveness-checking,
A-extern-fn,
A-FFI,
A-filesystem,
A-floating-point,
A-fmt,
A-frontend,
