Label,is_non_descriptive_label
a11y,
C: New Component,
C: Selection controls,
C: Transitions,
C: Typography,
C: VAlert,
C: VApp,
C: VAppBar,
C: VAutocomplete,
C: VAvatar,
C: VBadge,
C: VBanner,
C: VBottomNavigation,
C: VBottomSheet,
C: VBreadcrumbs,
C: VBtn,
C: VBtnGroup,
C: VBtnToggle,
C: VCalendar,
C: VCard,
C: VCarousel,
C: VCheckbox,
C: VCheckboxBtn,
C: VChip,
C: VChipGroup,
C: VColorInput,
C: VColorPicker,
C: VCombobox,
C: VConfirmEdit,
C: VCounter,
C: VData,
C: VDataFooter,
C: VDataIterator,
C: VDataTable,
C: VDataTableServer,
C: VDataTableVirtual,
C: VDateInput,
C: VDatePicker,
C: VDatePickerRange,
C: VDateTimePicker,
C: VDialog,
C: VDivider,
C: VEditDialog,
C: VEmptyState,
C: VExpansionPanels,
C: VFab,
C: VFeatureDiscovery,
C: VField,
C: VFileInput,
C: VFileUpload,
C: VFooter,
C: VForm,
C: VGrid,
C: VHotkey,
C: VHover,
C: VIcon,
C: VIconBtn,
C: VImg,
C: VInfiniteScroll,
C: VInput,
C: VItem,
C: VItemGroup,
C: VKbd,
C: VLabel,
C: VLayoutItem,
C: VLazy,
C: VList,
C: VListGroup,
C: VListItem,
C: VMain,
C: VMaskInput,
C: VMenu,
C: VMessages,
C: VNavigationDrawer,
C: VNoSsr,
C: VNumberInput,
C: VOtpInput,
C: VOverflowBtn,
C: VOverlay,
C: VPagination,
C: VParallax,
C: VPie,
C: VProgressCircular,
C: VProgressLinear,
C: VPullToRefresh,
C: VRadio,
C: VRadioGroup,
C: VRangeSlider,
C: VRating,
C: VResponsive,
C: VSelect,
C: VSelectionControl,
C: VSelectionControlGroup,
C: VSheet,
C: VSkeletonLoader,
C: VSlideGroup,
C: VSlider,
C: VSnackbar,
C: VSnackbarQueue,
C: VSpacer,
C: VSparkline,
C: VSpeedDial,
C: VStepper,
C: VStepperVertical,
C: VSwitch,
C: VSystemBar,
C: VTable,
C: VTabs,
C: VTextarea,
C: VTextField,
C: VTimeInput,
C: VTimeline,
C: VTimePicker,
C: VToolbar,
C: VTooltip,
C: VTreeview,
C: VValidate,
C: VVideo,
C: VVirtualScroll,
C: VWindow,
CSS specificity,
D: click-outside,
D: directive component,
D: intersect,
D: mutate,
D: New Directive,
D: ripple,
D: tooltip,
D: touch,
dependencies,
duplicate,True
E: blueprints,
E: border,
E: color,
E: date,
E: defaults,
E: delay,
E: density,
E: dimensions,
E: display,
E: elevation,
E: filter,
E: focus,
E: goTo,
E: group,
E: hotkey,
E: icons,
E: layout,
E: locale,
E: mask,
E: nested,
E: New Composable,
E: position,
E: proxiedModel,
E: resizeObserver,
E: rounded,
E: router,
E: rtl,
E: rules,
E: size,
E: ssrBoot,
E: stack,
E: tag,
E: teleport,
E: theme,
E: transition,
E: validation,
E: variants,
E: Virtual,
Epic,
framework,
good first issue,True
HACKTOBERFEST-ACCEPTED,True
has workaround,True
help wanted,True
i18n,
invalid,True
kitchen,
labs,
layer 8 issue,
lts,
MD2,
MD3,
missing information,True
NUXT,
P: critical,True
P: elite sponsor,True
P: high,True
P: low,True
P: sponsor,True
pending review,True
pending team review,True
performance,
platform specific,
PR: don't squash,True
reactivity,
rtl,
S: bulk closed,True
S: has merge conflicts,True
S: maybe,True
S: needs docs update,True
S: needs more information,True
S: needs reproduction,True
S: needs unit tests,True
S: on hold,True
S: stale,True
S: triage,True
S: work in progress,True
sass,
semver: major,True
semver: minor,True
Service: Application,
Service: Breakpoint,
Service: Icons,
Service: Lang,
Service: Theme,
SSR,
T: api-generator,
T: bug,
T: documentation,
T: enhancement,
T: feature,
T: question,
T: regression,
Task,
testing,
typescript,
upstream,
vapor,
VEditor,
Vuetify 2,True
Vuetify 3 - Phase 1,True
Vuetify 3 - Phase 2,True
Vuetify 3 - Phase 3,True
Vuetify 3 - Phase 4,True
wontfix,True
working as intended,True
