Label,is_non_descriptive_label
abi-f32,
abi-ilp32,
abi-n32,
abi-sf,
abi-x32,
accepted,True
arch-aarch64,
arch-alpha,
arch-amdgcn,
arch-arc,
arch-arc32,
arch-arc64,
arch-arm,
arch-avr,
arch-bpf,
arch-csky,
arch-hexagon,
arch-hppa,
arch-hppa64,
arch-kalimba,
arch-kvx,
arch-lanai,
arch-loongarch32,
arch-loongarch64,
arch-m68k,
arch-microblaze,
arch-mips,
arch-mips64,
arch-msp430,
arch-nvptx,
arch-or1k,
arch-powerpc,
arch-powerpc64,
arch-propeller,
arch-riscv32,
arch-riscv64,
arch-s390x,
arch-sh,
arch-sparc,
arch-sparc64,
arch-spirv,
arch-ve,
arch-wasm,
arch-x86,
arch-x86_16,
arch-x86_64,
arch-xcore,
arch-xtensa,
autodoc,
backend-c,
backend-llvm,
backend-self-hosted,
bounty,
breaking,
bug,
compiler-rt,
contributor friendly,True
debug-info,True
docs,
downstream,
emit-h,
enhancement,
error message,
frontend,
fuzzing,
incremental compilation,
libc,
linking,
miscompilation,
optimization,
os-aix,
os-android,
os-bridgeos,
os-bring-your-own,
os-contiki,
os-dragonfly,
os-driverkit,
os-emscripten,
os-freebsd,
os-freestanding,
os-fuchsia,
os-haiku,
os-hermit,
os-hurd,
os-illumos,
os-ios,
os-kfreebsd,
os-linux,
os-maccatalyst,
os-macos,
os-managarm,
os-netbsd,
os-ohos,
os-openbsd,
os-plan9,
os-redox,
os-rtems,
os-serenity,
os-solaris,
os-tvos,
os-uefi,
os-visionos,
os-wasi,
os-watchos,
os-windows,
os-zos,
proposal,
question,
regression,
release notes,
research,
stage1,
standard library,
testing,
tier system,
translate-c,
upstream,
use case,
work in progress,True
zig ar,
zig build system,
zig cc,
zig fmt,
