representative_label_by_embedding,count,representative_label_by_count,count,total_count,cluster
bug,14650,bug,14650,15334,"['bug', 'type bug', 'bugs', 'type:bug', 'quickfix', 'type: bug', 'type/bug', 'issue', 'quick fix', 'fix', 'model issue', 'workaround', 'bug fix', 'severity:minor', 'issue tracking', 'issue comment', 'issues', 'packageissue', 'bug report', 'ci issue', 'tracking issue', 'bugfix', 'import issue', 'package issue', 'type: issue', 'component issue', 'type: bugfix', 'functional issue', 'feature bug', 'type system bug', 'fix it', 'bug introduction', 'issue type/bug', 'type:issue', 'bug fix request', 'minor issue', 'minor', 'minor bug', 'good first issue', 'issue template', 'external issue tracker', 'issue list', 'c bug', 'fix needed', 'issue report', 'functional bug']"
type/improvement,2,enhancement,1655,2168,"['enhancement', 'improvement', 'api enhancement', 'api improvement', 'type improvement', 'type:enhancement', 'test improvement', 'type/improvement', 'test enhancement', 'type enhancement', 'type/enhancement', 'kind/enhancement', 'c enhancement', 'type: enhancement', 'ci improvement', 'type: improvement', 'process improvement', 'general improvement']"
documentation,2591,documentation,2591,3008,"['documentation', 'docs', 'doc', 'adoc', 'asciidoc', 'doc improvement', 'doc issue', 'type: documentation', 'documentation bug', 'autodoc', 'domain: documentation', 'documentation issue', 'domain:documentation', 'category: documentation', 'documentation inconsistency', 'topic/documentation', 'doc content', 'documentation generation', 'type:documentation', 'topic:documentation', 'doc bug', 'documentation needed', 'documentation suggestion', 'doc suggestion', 'doc link', 'documentation request']"
upgrade,2079,upgrade,2079,3868,"['dependency update', 'dependency upgrade', 'upgrade', 'framework upgrade', 'upgrades', 'library update', 'update', 'plugin update', 'library upgrade', 'plugin upgrade', 'api update', 'dependencyupgrade', 'dependencyupdate', 'rolling upgrade', 'auto update', 'dependency check', 'upgrade policy', 'upgrading', 'api upgrade', 'self update', 'upgrade issue', 'type:dependency upgrade', 'type:upgrade', 'dependency bump', 'bug fix version upgrade', 'client upgrade', 'version bump', 'upgrade required', 'content update', 'test update', 'ui upgrade', 'patch release', 'version upgrade', 'upgrade regression', 'enum update', 'dependencies upgrade', 'dependencies update', 'image upgrade', 'upgrade issues']"
test failure,1026,test failure,1026,1857,"['test failure', 'testfailure', 'flaky', 'flaky test', 'test failures', 'ci test failure', 'test flaky', 'ci failure', 'failure', 'test issue', 'task failure', 'unit test failure', 'import failure', 'test flakiness', 'testing issue', 'testing failure', 'test/failure', 'test flake', 'unittest failure', 'flaky tests', 'test bug']"
compiler error,493,compiler,1145,2907,"['compiler', 'compiler error', 'compile error', 'compiler bug', 'compile time', 'compilation', 'compiler behavior', 'compile', 'compiler internal', 'compiler warning', 'compilation error', 'f compiler', 'f compiler error', 't compiler', 'compiler suggestion', 'compiler crash', 'compile time error', 'precompilation', 'compiler errors', 'compiling', 'compilers', 'compiler feedback', 'compiler frontend', 'compiler panic', 'a compiler', 'compiler issue', 'compiler diagnostics', 't compiler error', 'f compiler errors', 'f compiler internal', 'compiler warnings', 'compiler design', 'compilation time', 'miscompilation', 'compile time issue', 'recompilation', 'compile time behavior', 'compiler specific', 'compiler compatibility', 'compiler internal error', 'compiler interaction', 'internal compiler error', 'compiler regression', 'compiler message', 'miscompile', 'compiler feature', 'compilererror', 'compilation issue', 'internalcompilererror', 'compiler flags', 'cmd compile', 'domain: compiler', 'language compiler', 'conditional compilation', 'compiler issues', 'compiler bugs', 'compiler features', 'compiler implementation', 'compilation bug', 'compiler configuration', 'compile failure', 'compilation failure', 'compiler verification', 'backend compiler failed', 'category: compilation', 'model compilation', 'library compilation', 'compiler diagnostic', 'compile fail', 'function compilation']"
feat,3,feature request,2225,2933,"['feature request', 'feature', 'features', 'unstable features', 'new feature', 'featurerequest', 'feature discussion', 'type feature', 'type/feature', 'target feature', 'target features', 'unstable feature', 'feature index', 'feature management', 'feature proposal', 'feature gate', 'feature flag', 'type:feature', 'type feature request', 'experimental feature', 'type: feature request', 'type: feature', 'type:feature request', 'feat', 'library features', 'category:feature request', 'feature flags', 'const features', 'experimental features', 'category feature request', 'feature requests', 'feature change', 'design change']"
ui,1340,ui,1340,2232,"['ui', 'user interface', 'gui', 'ui bug', 'ui issue', 'ui ux', 'ui enhancement', 'ui improvement', 'ui/ux', 'display issue', 'ui design', 'visual bug', 'hud', 'ui component', 'ui feature', 'ui components', 'visual issue', 'domain:ui', 'ux improvement', 'domain: ui', 'domain: user interface', 'ui customization', 'ui appearance', 'user interfaces', 'gui improvement', 'ux issue', 'gui issue', 'ui issues', 'ui look and feel', 'ui change', 'ui glitch', 'ui bugs']"
build,895,build,895,1904,"['build', 'build system', 'build failure', 'build tools', 'build process', 'build error', 'build issue', 'build tool', 'build performance', 't build system', 'build tooling', 'build related', 'build info', 'build issues', 'buildinfo', 'build tags', 'build id', 'buildmode', 'aux build', 'build script', 'builder', 'build tag', 'domain:build', 'domain: build', 'build configuration', 'domain:build tool', 'topic:build', 'domain: build tool', 'package build', 'build problem', 'build mode', 'build std', 'build tool configuration', 'build test', 'build time', 'build helper']"
api,829,api,829,1076,"['api', 'api design', 'api documentation', 'api reference', 'api docs', 'api error', 'api usage', 'api issue', 'type api', 'api missing', 'usage', 'api doc', 'api testing', 'n api', 'library usage', 'api regression', 'api bug', 'api access', 'domain: api', 'api exposure', 'labels: api', 'domain: api design', 'topic: api', 'category: api', 'public api', 'api use']"
