representative_label_by_embedding,count,representative_label_by_count,count,total_count,cluster
bug fix,18,bug,14650,14995,"['bug', 'bugs', 'type:bug', 'type: bug', 'type/bug', 'fix', 'bug fix', 'bug report', 'bugfix', 'type: bugfix', 'feature bug', 'fix it', 'bug introduction', 'bug fix request', 'minor issue', 'minor bug', 'suggest fix', 'fix needed']"
type:enhancement,34,enhancement,1655,2115,"['enhancement', 'improvement', 'type:enhancement', 'type/enhancement', 'kind/enhancement', 'type: enhancement', 'general improvement']"
topic:documentation,2,documentation,2591,2685,"['documentation', 'manpage', 'man pages', 'type: documentation', 'documentation bug', 'domain: documentation', 'documentation issue', 'domain:documentation', 'category: documentation', 'documentation inconsistency', 'topic/documentation', 'documentation generation', 'type:documentation', 'topic:documentation', 'documentation needed', 'documentation suggestion', 'documentation request']"
dependencies,305,dependency upgrade,971,3170,"['dependency update', 'dependency upgrade', 'dependency management', 'dependency', 'dependency resolution', 'dependencies', 'dependency conflict', 'dependency injection', 'dependency issue', 'circular dependency', 'dependencyinjection', 'dependency issues', 'library dependency', 'dependencyupgrade', 'dependencymanagement', 'dependencyupdate', 'dependencyresolution', 'peer dependencies', 'dependency check', 'runtime dependency', 'dependency problem', 'external dependency', 'dev dependencies', 'optional dependencies', 'package dependency', 'domain: dependency management', 'domain:dependencies', 'third party dependency', 'dependency bump', 'topic:dependency management', 'cyclic dependency', 'missing dependency', 'circular dependencies', 'upstream dependency', 'git dependency', 'platform dependencies', 'dependencies upgrade', 'dependencies update', 'optional dependency']"
test failure,1026,test failure,1026,1259,"['test failure', 'flaky test', 'test failures', 'test flaky', 'smoke test', 'test missing', 'go test', 'test issue', 'test results', 'test flakiness', 'testing issue', 'testing failure', 'test/failure', 'go/test', 'test flake', 'disabled test', 'skip test', 'flaky tests', 'test bug']"
compilers,4,compiler,1145,1770,"['compiler', 'compile time', 'compilation', 'compiler behavior', 'compile', 'compiler internal', 'cross compilation', 'compiler lint', 't compiler', 'compiler suggestion', 'compiling', 'compiler rt', 'compilers', 'cross compile', 'compiler feedback', 'compiler frontend', 'compiler builtins', 'a compiler', 'cmd/compile', 'compiler diagnostics', 'compiler intrinsic', 't compiler error', 'compiler design', 'compilation time', 'compile time behavior', 'compiler specific', 'compiler interaction', 'compiler regression', 'compiler feature', 'dynamic compilation', 'compiler flags', 'cmd compile', 'language compiler', 'conditional compilation', 'compiler features', 'compiler implementation', 'dynamic compiler', 'compiler assertion', 'compiler interpretation', 'compiler configuration', 'compiler verification', 'category: compilation', 'compiler diagnostic']"
feature proposal,2,feature request,2225,2307,"['feature request', 'new feature', 'featurerequest', 'feature proposal', 'type: feature request', 'type:feature request', 'category:feature request', 'category feature request', 'feature requests', 'feature change']"
user interfaces,2,ui,1340,1885,"['ui', 'user interface', 'user experience', 'interface', 'ui ux', 'user facing', 'ui/ux', 'domain: user experience', 'user interfaces']"
build related,3,build,895,1928,"['build', 'build system', 'build failure', 'build tools', 'build process', 'buildpack', 'build error', 'build issue', 'build tool', 'buildpacks', 'build performance', 't build system', 'build tooling', 'build related', 'build info', 'build issues', 'buildinfo', 'build id', 'buildmode', 'release build', 'build script', 'build configuration', 'topic:build', 'production build', 'package build', 'build problem', 'windows build', 'insider build', 'build mode', 'build tool configuration', 'build output', 'reproducible builds', 'build time', 'build pack']"
compiler issue,11,compiler error,493,1246,"['compiler error', 'compile error', 'compiler bug', 'linker', 'compiler warning', 'compilation error', 'compiler crash', 'compile time error', 'compiler errors', 'compiler panic', 'compiler issue', 'compiler warnings', 'compile time issue', 'compiler message', 'miscompile', 'compilererror', 'linker error', 'compilation issue', 'linker issue', 'compiler issues', 'compiler bugs', 'compilation bug', 'compile failure', 'compilation failure', 'linker problem', 'compile fail', 'cpp compile error', 'cpp issue']"
