representative_label_by_embedding,count,representative_label_by_count,count,total_count,cluster
bug,14650,bug,14650,14650,['bug']
enhancement,1655,enhancement,1655,1655,['enhancement']
documentation,2591,documentation,2591,2591,['documentation']
dependency update,562,dependency update,562,564,"['dependency update', 'dependencies update']"
test failure,1026,test failure,1026,1034,"['test failure', 'testing failure']"
compiler,1145,compiler,1145,1145,['compiler']
feature request,2225,feature request,2225,2225,['feature request']
ui,1340,ui,1340,1340,['ui']
build,895,build,895,895,['build']
compiler error,493,compiler error,493,498,"['compiler error', 'compiler errors']"
api,829,api,829,829,['api']
performance,1955,performance,1955,1955,['performance']
testing,1629,testing,1629,1629,['testing']
ci,744,ci,744,744,['ci']
runtime,626,runtime,626,626,['runtime']
dependency upgrade,971,dependency upgrade,971,973,"['dependency upgrade', 'dependencies upgrade']"
test,546,test,546,546,['test']
security,819,security,819,819,['security']
cli,420,cli,420,420,['cli']
regression,441,regression,441,441,['regression']
editor,593,editor,593,593,['editor']
database,1070,database,1070,1070,['database']
feature,440,feature,440,440,['feature']
build system,391,build system,391,391,['build system']
esql,252,esql,252,252,['esql']
terminal,454,terminal,454,454,['terminal']
gopls,339,gopls,339,339,['gopls']
logging,463,logging,463,463,['logging']
plugin,269,plugin,269,269,['plugin']
windows,415,windows,415,415,['windows']
runtime error,393,runtime error,393,393,['runtime error']
type system,644,type system,644,644,['type system']
gradle,295,gradle,295,295,['gradle']
configuration,999,configuration,999,999,['configuration']
dynamo,456,dynamo,456,456,['dynamo']
rendering,320,rendering,320,320,['rendering']
syntax,255,syntax,255,255,['syntax']
web,306,web,306,306,['web']
behavior,138,behavior,138,138,['behavior']
extension,256,extension,256,313,"['extension', 'extensions']"
accessibility,228,accessibility,228,228,['accessibility']
docker,291,docker,291,291,['docker']
dependency management,491,dependency management,491,493,"['dependency management', 'dependencymanagement']"
maven,224,maven,224,224,['maven']
spring framework,499,spring framework,499,499,['spring framework']
trait,171,trait,171,171,['trait']
spring boot,1725,spring boot,1725,1727,"['spring boot', 'springboot']"
typescript,386,typescript,386,386,['typescript']
integration,285,integration,285,285,['integration']
crash,644,crash,644,644,['crash']
panic,244,panic,244,244,['panic']
dependency,397,dependency,397,397,['dependency']
integration test,420,integration test,420,420,['integration test']
sql,420,sql,420,420,['sql']
error,270,error,270,270,['error']
optimization,668,optimization,668,668,['optimization']
docs,181,docs,181,181,['docs']
dependency resolution,171,dependency resolution,171,171,['dependency resolution']
compile error,76,compile error,76,85,"['compile error', 'compile time error']"
http,284,http,284,284,['http']
search,201,search,201,201,['search']
type error,90,type error,90,90,['type error']
crypto,206,crypto,206,206,['crypto']
tooling,199,tooling,199,199,['tooling']
language,262,language,262,262,['language']
core,216,core,216,216,['core']
aot,157,aot,157,157,['aot']
instrumentation,70,instrumentation,70,70,['instrumentation']
cuda,326,cuda,326,326,['cuda']
spel,144,spel,144,144,['spel']
memory leak,245,memory leak,245,247,"['memory leak', 'memory leaks']"
android,147,android,147,147,['android']
networking,125,networking,125,125,['networking']
lifetime,106,lifetime,106,106,['lifetime']
distributed,126,distributed,126,126,['distributed']
python,454,python,454,454,['python']
codegen,146,codegen,146,146,['codegen']
upgrade,2079,upgrade,2079,2082,"['upgrade', 'upgrading']"
java,1923,java,1923,1923,['java']
installation,203,installation,203,235,"['installation', 'install']"
cache,195,cache,195,195,['cache']
rustc,381,rustc,381,381,['rustc']
inductor,243,inductor,243,243,['inductor']
layout,199,layout,199,199,['layout']
reactor,170,reactor,170,170,['reactor']
css,208,css,208,208,['css']
messaging,63,messaging,63,63,['messaging']
pulsar,115,pulsar,115,115,['pulsar']
workspace,96,workspace,96,96,['workspace']
component,135,component,135,135,['component']
kotlin,155,kotlin,155,155,['kotlin']
mvc,65,mvc,65,68,"['mvc', 'web mvc']"
config,91,config,91,91,['config']
jit,159,jit,159,159,['jit']
debugger,101,debugger,101,101,['debugger']
deprecation,154,deprecation,154,154,['deprecation']
build failure,180,build failure,180,180,['build failure']
chat,139,chat,139,139,['chat']
cpu,179,cpu,179,179,['cpu']
micrometer,147,micrometer,147,147,['micrometer']
error message,184,error message,184,184,['error message']
improvement,316,improvement,316,316,['improvement']
ux,128,ux,128,128,['ux']
user interface,274,user interface,274,276,"['user interface', 'user interfaces']"
tracing,192,tracing,192,192,['tracing']
std,91,std,91,91,['std']
rustdoc,114,rustdoc,114,114,['rustdoc']
memory,96,memory,96,96,['memory']
httpclient,59,httpclient,59,59,['httpclient']
telemetry,138,telemetry,138,138,['telemetry']
parser,136,parser,136,136,['parser']
metrics,220,metrics,220,220,['metrics']
frontend,109,frontend,109,111,"['frontend', 'front end']"
mir,87,mir,87,87,['mir']
spring data,165,spring data,165,165,['spring data']
workflow,75,workflow,75,75,['workflow']
autograd,158,autograd,158,158,['autograd']
ddl,82,ddl,82,82,['ddl']
authentication,128,authentication,128,128,['authentication']
async,123,async,123,123,['async']
server,122,server,122,122,['server']
segfault,152,segfault,152,152,['segfault']
migration,158,migration,158,158,['migration']
onnx,122,onnx,122,122,['onnx']
mps,98,mps,98,98,['mps']
infrastructure,174,infrastructure,174,174,['infrastructure']
jdbc,100,jdbc,100,100,['jdbc']
compiler bug,307,compiler bug,307,307,['compiler bug']
tomcat,129,tomcat,129,129,['tomcat']
compile time,41,compile time,41,41,['compile time']
cgo,100,cgo,100,100,['cgo']
functionality,91,functionality,91,91,['functionality']
import,113,import,113,113,['import']
ios,121,ios,121,121,['ios']
index,79,index,79,79,['index']
compilation,272,compilation,272,272,['compilation']
debug,67,debugging,253,320,"['debug', 'debugging']"
completion,129,completion,129,129,['completion']
os,119,os,119,119,['os']
concurrency,252,concurrency,252,252,['concurrency']
kafka,87,kafka,87,87,['kafka']
query planner,40,query planner,40,40,['query planner']
renderer,41,renderer,41,41,['renderer']
webserver,24,web server,53,77,"['web server', 'webserver']"
network,173,network,173,173,['network']
llvm,99,llvm,99,99,['llvm']
suggestion,104,suggestion,104,104,['suggestion']
generics,86,generics,86,86,['generics']
memory safety,95,memory safety,95,95,['memory safety']
compatibility,259,compatibility,259,259,['compatibility']
dependencies,305,dependencies,305,305,['dependencies']
ownership,40,ownership,40,40,['ownership']
attention,44,attention,44,44,['attention']
reactive,80,reactive,80,80,['reactive']
r2dbc,95,r2dbc,95,95,['r2dbc']
jetty,86,jetty,86,86,['jetty']
native image,97,native image,97,97,['native image']
language server,89,language server,89,89,['language server']
dom,109,dom,109,109,['dom']
routing,99,routing,99,99,['routing']
graphql,100,graphql,100,100,['graphql']
optimizer,91,optimizer,91,91,['optimizer']
ssl,105,ssl,105,105,['ssl']
auto configuration,100,auto configuration,100,100,['auto configuration']
markdown,111,markdown,111,111,['markdown']
diagnostics,117,diagnostics,117,117,['diagnostics']
struct,49,struct,49,52,"['struct', 'structs']"
compiler behavior,32,compiler behavior,32,32,['compiler behavior']
aten,56,aten,56,56,['aten']
x pack,88,x pack,88,88,['x pack']
settings,96,settings,96,96,['settings']
environment,82,environment,82,82,['environment']
command line,79,command line,79,79,['command line']
template,112,template,112,112,['template']
json,130,json,130,130,['json']
enum,74,enum,74,74,['enum']
indexing,93,indexing,93,93,['indexing']
theme,45,theme,45,45,['theme']
type bug,79,type bug,79,79,['type bug']
sync,105,sync,105,105,['sync']
api change,170,api change,170,170,['api change']
serialization,125,serialization,125,127,"['serialization', 'serialize']"
packaging,49,packaging,49,49,['packaging']
testfailure,30,testfailure,30,30,['testfailure']
dependency conflict,32,dependency conflict,32,32,['dependency conflict']
neo4j,88,neo4j,88,88,['neo4j']
webflux,85,webflux,85,85,['webflux']
macos,99,macos,99,99,['macos']
refactoring,174,refactoring,174,180,"['refactoring', 'code refactoring']"
linking,66,linking,66,66,['linking']
metadata,130,metadata,130,130,['metadata']
warning,119,warning,119,119,['warning']
analysis,106,analysis,106,106,['analysis']
const eval,90,const eval,90,90,['const eval']
tensor,180,tensor,180,180,['tensor']
executor,53,executor,53,53,['executor']
validation,155,validation,155,155,['validation']
input,87,input,87,87,['input']
linux,113,linux,113,113,['linux']
formatting,113,formatting,113,113,['formatting']
gc,78,gc,78,78,['gc']
doc,80,doc,80,80,['doc']
macro,75,macro,75,75,['macro']
gui,108,gui,108,108,['gui']
torch compile,47,torch compile,47,52,"['torch compile', 'torchcompile']"
actuator,62,actuator,62,62,['actuator']
opcache,86,opcache,86,86,['opcache']
tikv,52,tikv,52,52,['tikv']
workbench,43,workbench,43,43,['workbench']
bugs,44,bugs,44,44,['bugs']
encoding,94,encoding,94,94,['encoding']
website,55,website,55,55,['website']
bootstrap,77,bootstrap,77,77,['bootstrap']
toolchain,57,toolchain,57,57,['toolchain']
fuzzing,61,fuzzing,61,61,['fuzzing']
iterator,66,iterator,66,73,"['iterator', 'iterators']"
data race,78,data race,78,78,['data race']
torch.compile,71,torch.compile,71,71,['torch.compile']
notebook,53,notebook,53,53,['notebook']
caching,107,caching,107,107,['caching']
error handling,243,error handling,243,243,['error handling']
language feature,242,language feature,242,242,['language feature']
