representative_label_by_embedding,count,representative_label_by_count,count,total_count,cluster
compiler,1145,bug,14650,73106,"['bug', 'enhancement', 'documentation', 'dependency update', 'compiler', 'feature request', 'ui', 'build', 'compiler error', 'api', 'performance', 'runtime', 'dependency upgrade', 'cli', 'editor', 'database', 'feature', 'build system', 'terminal', 'windows', 'runtime error', 'type system', 'configuration', 'rendering', 'extension', 'docker', 'dependency management', 'maven', 'spring framework', 'trait', 'spring boot', 'dependency', 'sql', 'error', 'optimization', 'dependency resolution', 'compile error', 'http', 'type error', 'tooling', 'language', 'aot', 'cuda', 'networking', 'upgrade', 'java', 'installation', 'layout', 'css', 'mvc', 'config', 'deprecation', 'build failure', 'cpu', 'error message', 'improvement', 'ux', 'user interface', 'httpclient', 'parser', 'spring data', 'workflow', 'async', 'server', 'infrastructure', 'jdbc', 'compiler bug', 'compile time', 'compilation', 'os', 'query planner', 'renderer', 'web server', 'network', 'generics', 'compatibility', 'dependencies', 'language server', 'optimizer', 'ssl', 'auto configuration', 'extensions', 'markdown', 'compiler behavior', 'environment', 'command line', 'template', 'type bug', 'sync', 'api change', 'packaging', 'dependency conflict', 'macos', 'refactoring', 'linking', 'metadata', 'warning', 'const eval', 'executor', 'validation', 'input', 'linux', 'formatting', 'gui', 'bugs', 'error handling', 'language feature', 'release', 'gpu', 'extension api', 'scripting', 'webserver', 'compile', 'cmd/go', 'linker', 'user experience', 'mockito', 'tools', 'package manager', 'http2', 'typechecker', 'traits', 'storage', 'localization', 'aop', 'syscall', 'net/http', 'compiler internal', 'function', 'mysql', 'runtimeerror', 'html', 'refactor', 'http client', 'libraries', 'c++', 'code style', 'api design', 'type inference', 'library', 'compiler warning', 'compilation error', 'framework', 'webclient', 'ide', 'runtime panic', 'cpp', 'keyboard', 'ui bug', 'filesystem', 'go/types', 'net', 'language design', 'build tools', 'build process', 'scheduler', 'upgrades', 'library update', 'buildpack', 'dependency injection', 'script', 'client', 'language go', 'package management', 'mapping', 'spring test', 'typeerror', 'styling', 'input handling', 'style', 'build error', 'install', 'binding', 'f compiler', 'data type', 'spring boot configuration', 'spring integration', 'query', 'file system', 'command', 'api proposal', 'output', 'build issue', 'parsing', 'tls', 'const', 'module', 'trait related', 'f traits', 'f compiler error', 'math', 'types', 'device', 'data types', 'spring web', 'module system', 'dependency issue', 'compiletest', 'typechecking', 'warnings', 'python api', 'dtype', 'templating', 'rest api', 'bean definition', 'keybindings', 'focus', 'usability', 'input method', 'language features', 'ui issue', 'fetch', 'generic', 'node api', 'format', 'async await', 'const evaluation', 'translation', 'i18n', 'data access', 'query execution', 'query performance', 'sql parser', 'features', 'language support', 'api documentation', 'api clarity', 'vscode', 'path', 'environment variables', 'formatter', 'api compatibility', 'std library', 'attribute', 't compiler', 'runtime behavior', 'aoti', 'accuracy', 'spring boot dependencies', 'backward compatibility', 'bean', 'maven plugin', 'library upgrade', 'exception handling', 'mapper', 'bean lifecycle', 'query optimization', 'packages', 'protocol', 'scheduling', 'crypto/tls', 'link', 'textinput', 'devtools', 'websocket', 'compiler suggestion', 'compiler crash', 'const generics', 'typing', 'autoconfiguration', 'spring boot autoconfigure', 'spring boot web', 'spring context', 'file handling', 'markup', 'api enhancement', 'feedback', 'release notes', 'internationalization', 'runtime issue', 'syscalls', 'interface', 'unix', 'build tool', 'tool', 'client server', 'internal error', 'api breaking change', 'compile time error', 'api reference', 'api deprecation', 'connectivity', 'node compat', 'trait system', 'c interop', 'compiler optimization', 'spring boot 3.4', 'buildpacks', 'spring boot core', 'property binding', 'container', 'spring boot 3.2', 'spring beans', 'python integration', 'keyboard shortcuts', 'text display', 'window management', 'ui ux', 'api improvement', 'runtime crash', 'cmd', 'sys', 'format string', 'locking', 'type safety', 'api behavior', 'autolinking', 'process', 'api docs', 't traits', 'opaque types', 'compiler errors', 'lang', 'configure', 'unstable features', 'integer', 'link issue', 'build performance', 'compiling', 'floating point', 'table', 'jdk', 'websockets', 'beans', 'api error', 'python version', 'sql syntax', 'keybinding', 'locale', 'input output', 'api usage', 'api issue', 'editing', 'ide features', 'dev server', 'type check', 'type checker', 'editor integration', 'standard library', 'api breaking', 'lock', 'type:bug', 'release management', 'new feature', 'image loading', 'errors', 'type api', 'nodejs compatibility', 'library compatibility', 'type mismatch', 'connection', 'compiler rt', 'impl trait', 'const fn', 'const propagation', 'const items', 'associated types', 'async runtime', 't build system', 'compilers', 'typeck', 'libc', 'posix', 'template syntax', 'api consistency', 'verification', 'datatype', 'optimizers', 'spring boot starter web', 'spring boot features', 'multi release', 'build tooling', 'constructor', 'spring boot 3.3', 'configuration properties', 'coding style', 'spring mvc', 'release process', 'data binding', 'beanfactory', 'task scheduler', 'rich text editor', 'package installation', 'v data table', 'coprocessor', 'query plan', 'vscode extension', 'extension installation', 'featurerequest', 'text model', 'code editor', 'extension management', 'api incompatibility', 'code optimization', 'node', 'commands', 'window behavior', 'developer experience', 'client side', 'minification', 'server rendering', 'html/template', 'workflows', 'modules', 'go tools', 'assembler', 'maps', 'request body', 'error reporting', 'parse error', 'build related', 'type improvement', 'type checking', 'command line behavior', 'feature discussion', 'platform compatibility', 'compiler feedback', 'syntax error', 'circular dependency', 'type feature', 'installer', 'type:enhancement', 'api request', 'api missing', 'web api', 'f type system', 'f trait', 'compiler frontend', 'api review', 'async fn', 'compiler panic', 'libcore', 'compiler builtins', 'f closures', 'f async', 'a compiler', 'incremental compilation', 'f const', 'unsized types', 't const', 'command line interface', 'platform server', 'dependencyinjection', 'class binding', 'aotcompilation', 'compiler issue', 'python compatibility', 'type hints', 'type: bug', 'performance regression', 'cudagraphs', 'css generation', 'content rendering', 'path handling', 'multilingual', 'language update', 'build info', 'binder', 'request handling', 'mssql', 'spring boot 3.x', 'spring boot buildpack', 'containerization', 'constructor binding', 'spring cloud', 'spring data mongodb', 'web client', 'java version', 'rest client', 'ui enhancement', 'usage', 'ui improvement', 'web mvc', 'bean post processing', 'spring framework 6.1', 'web framework', 'restclient', 'spring webmvc', 'spring framework core', 'string handling', 'disassembly', 'disassembler', 'switch statement', 'codebrowser', 'method dispatch', 'cli usage', 'python versioning', 'sql feature', 'editor feature', 'multi window', 'language model', 'text editor', 'vscode ui', 'code clarity', 'extension issues', 'api update', 'esmodules', 'input focus', 'language style', 'extension issue', 'extensionapi', 'web ui', 'ui feedback', 'text rendering', 'ide feature', 'server side', 'babel', 'build issues', 'runtime errors', 'server side rendering', 'language enhancement', 'runtime performance', 'cmd/cgo', 'type/bug', 'text/template', 'ui/ux', 'x sys unix', 'server error', 'type assertion', 'command line tool', 'user', 'cmd/gomote', 'spec compliance', 'env var', 'cross platform', 'cmd/compile', 'format issue', 'go tool', 'noder', 'type crash', 'dynamic linking', 'switch', 'type/improvement', 'type/feature', 'type issue', 'generic types', 'ide integration', 'language proposal', 'database/sql', 'newrenderer', 'async hooks', 'deno install', 'deno fmt', 'symlink', 'url handling', 'scripts', 'node compatibility', 'package resolution', 'async storage', 'url parsing', 'deno node', 'library issue', 'cli tool', 'f const trait', 'trait implementation', 'libstd', 'compiler diagnostics', 'const expressions', 'numeric', 'compile test', 'trait objects', 'trait object', 'compiler intrinsic', 't compiler error', 'f compiler errors', 'efficiency', 'f compiler internal', 'function call', 'method resolution', 'missing feature', 'unstable feature', 'f dyn trait', 'rpath', 'f generics', 'f opaque types', 'compiler warnings', 'cli behavior', 'platform support', 'compiler design', 'generic const exprs', 'compilation time', 'c compiler', 'const trait', 'win32', 'terminal ui', 'language improvement', 'api doc', 'setup', 'aot compilation', 'aot compiler', 'dtype conversion', 'type regression', 'aot compile', 'doc issue', 'compile time issue', 'recompilation', 'schedule', 'compile time behavior', 'functions', 'cpu features', 'asyncio', 'data type issues', 'c api', 'type conversion', 'floatingpoint', 'shapeerror', 'synchronization', 'dependency issues', 'parsing error', 'type api change', 'golang', 'template issue', 'library dependency', 'go runtime', 'dependencyupgrade', 'connect', 'spring boot starter', 'spring boot testing', 'spring rest docs', 'spring restdocs', 'boot autoconfigure', 'boot starter', 'spring data jpa', 'spring aop', 'release workflow', 'spring boot starter test', 'connector', 'dev services', 'type enhancement', 'spring boot 2.x', 'spring webflux', 'language upgrade', 'dependencymanagement', 'module metadata', 'web application', 'webservices', 'task execution', 'configurationproperties', 'dependencyupdate', 'type/enhancement', 'spring boot cli', 'syft', 'code improvement', 'autoconfigure', 'rolling upgrade', 'sql plugin', 'jvm', 'alias', 'arithmetic', 'function reference', 'path matching', 'springframework', 'spring framework 6.2', 'spring core', 'spring framework 6', 'factory bean', 'constructor injection', 'bean factory', 'rest docs', 'reference manual', 'task executor', 'data mapping', 'spring orm', 'method handle', 'async support', 'handler', 'parser issue', 'compiler specific', 'gcc', 'local storage', 'display issue', 'cloud storage', 'methoderror', 'python packaging', 'dependencyresolution', 'python env', 'project management', 'fatal error', 'fatalerror', 'domain language', 'language c', 'compiler compatibility', 'slow query log', 'code refactoring', 'query planning', 'query optimizer', 'data management', 'domain', 'go language', 'sql mode', 'slow query', 'data type issue', 'c code', 'oss', 'extension development', 'ui design', 'extension compatibility', 'deprecated', 'extension interaction', 'graphics', 'vscode web', 'file management', 'embedded languages', 'type hierarchy', 'uri encoding', 'extension update', 'extension updates', 'ui interaction', 'vscode dev', 'command prompt', 'launch config', 'ui text', 'window layout', 'language mode', 'input field', 'ui layout', 'visual bug', 'dev experience', 'link broken', 'client side rendering', 'map', 'compiler internal error', 'pkg.go.dev', 'go types', 'chdir', 'language version', 'kind/enhancement', 'cmd/vet', 'sys unix', 'build id', 'glibc', 'math/big', 'os/user', 'pkg config', 'parse', 'integer arithmetic', 'type params', 'internal api', 'package missing', 'incompatible', 'net http', 'buildmode', 'cmd go', 'type alias', 'os windows', 'language/go', 'cmd/gonew', 'release build', 'dev settings', 'ui rendering', 'es modules', 'internalerror', 'env file', 'readdir', 'https', 'n api', 'js error', 'deno', 'path mapping', 'deno workspace', 'promise hooks', 'node js', 'deno core', 'deno task', 'gpus', 'deno compile', 'feature management', 'unstable api', 'target cpu', 'compiler interaction', 'unboxing', 'const fns', 'links', 'static linking', 'language change', 'lang items', 'const safety', 'internal compiler error', 'unstable attribute', 'api stability', 'compiler regression', 'async closures', 'f async closure', 'platform specific', 'compiler message', 'trait upcasting', 'feature proposal', 'f closure', 'sysroot', 'f specialization', 'build script', 'async programming', 'miscompile', 'library usage', 'dependency check', 'platform', 'compiler feature', 'async fn traits', 'never type', 'async closure', 'trait impl', 'fix', 'trait selection', 'const functions', 'terminal behavior', 'terminal app', 'command not found', 'terminal emulation', 'minimization', 'localize', 'runtime warning', 'inputs', 'command line tools', 'translation issue', 'template rendering', 'two way binding', 'queries', 'query list', 'dataclasses', 'multi gpu', 'type promotion', 'templates', 'sycl', 'text generation', 'dynamic compilation', 'validation error', 'functional api', 'module list', 'c++ api', 'mixed precision', 'type: enhancement', 'process group', 'map location', 'runtime dependency', 'numerical accuracy', 'missing function', 'compilererror', 'device support', 'c implementation', 'int type', 'dataclass', 'precision', 'attribute error', 'dtype mismatch', 'type:feature', 'api bug', 'dtype mapping', 'css syntax', 'css variables', 'css issue', 'css output', 'core logic', 'template literals', 'type guard', 'dev mode', 'parser error', 'type feature request', 'render', 'bindings', 'template engine', 'template compatibility', 'content processing', 'output format', 'java 21', 'spring boot loader', 'upgrade policy', 'dependency problem', 'bind', 'url update', 'spring data cassandra', 'processor', 'upgrading', 'spring boot 3.4.x', 'guides', 'web services', 'module info', 'spring boot test autoconfigure', 'spring cloud config', 'spec compatibility', 'spring boot build', 'sqlserver', 'spring init', 'spring boot docker', 'post processor', 'spring environment', 'web testing', 'dev tools', 'spring boot auto configuration', 'java compiler', 'third party library', 'domain/build', 'spring boot tools', 'http error', 'bug fix', 'multi node', 'library conflict', 'script error', 'component template', 'cpu usage', 'querying', 'query parser', 'rendering issue', 'type propagation', 'api upgrade', 'ide support', 'bean override', 'runtime exception', 'java api', 'spring data jdbc', 'response handling', 'methodhandle', 'bean validation', 'spring cloud stream', 'expression language', 'beanutils', 'spring websocket', 'expression parser', 'exception message', 'handler method', 'setter injection', 'code browser', 'run configuration', 'c cpp', 'input validation', 'ui feature', 'stack editor', 'keyerror', 'switch case', 'c language', 'readability', 'api access', 'application layout', 'os request', 'text formatting', 'html rendering', 'node.js', 'web interface', 'file access', 'api integration', 'symbolic links', 'typesystem', 'math functions', 'packageissue', 'parser bug', 'packagemanagement', 'type stability', 'external dependency', 'package loading', 'math function', 'type', 'find links', 'command execution', 'project setup', 'http request', 'install issue', 'python interpreter', 'command issue', 'user feedback', 'dev dependencies', 'optional dependencies', 'project structure', 'python project', 'config parsing', 'logic error', 'python interaction', 'package dependency', 'url resolution', 'data table', 'type: documentation', 'datatable', 'attributes', 'type coercion', 'function error', 'c++ compatibility', 'documentation bug', 'output formatting', 'mysqli', 'os compatibility', 'languagefeature', 'constant', 'cli server', 'errorhandling', 'generic functions', 'transitive analysis', 'incremental build', 'operating system', 'linker error', 'function calls', 'reorganize', 'async load', 'sql performance', 'reorg', 'data inconsistency', 'sync load', 'reorganization', 'slow log', 'sql function', 'client api', 'data accuracy', 'sql query', 'data retrieval', 'query result', 'location', 'nodejs', 'external storage', 'locks', 'numerics', 'mappings', 'function behavior', 'spring', 'performance issue', 'programming language', 'type: feature request', 'bug report', 'development', 'spring boot feature', 'spring projects', 'performance optimization', 'go tooling', 'bean management', 'query language', 'deno cli', 'process management', 'generic programming', 'programming', 'installation issue', 'go standard library', 'java ee', 'environment variable', 'domain: documentation', 'compilation issue', 'go build', 'jit compilation', 'productivity', 'language bug', 'data mismatch', 'sync issue', 'vscode features', 'configuration issue', 'windows terminal', 'type: feature', 'go command', 'documentation issue', 'error report', 'text processing', 'web development', 'go compiler', 'bugfix', 'type:feature request', 'text manipulation', 'software development', 'command line options', 'domain: performance', 'library management', 'mathematics', 'spring expression', 'note taking', 'domain: api', 'go language server', 'package', 'type incorrectness', 'type unsoundness', 'broken link', 'library maintenance', 'domain:build', 'text input', 'compatibility issue', 'windows support', 'cuda support', 'storage engine', 'vscode api', 'go toolchain', 'language standards', 'package issue', 'internalcompilererror', 'language implementation', 'numerical', 'upgrade issue', 'java support', 'domain:java', 'vscode extensions', 'type: refactor', 'text editing', 'go/packages', 'domain/go', 'compiler flags', 'go/tools', 'domain: tooling', 'language extensions', 'linker issue', 'deprecation warning', 'core lib', 'windows issue', 'deno runtime', 'library issues', 'core language', 'spring boot plugin', 'domain: build', 'spring configuration', 'note management', 'project configuration', 'path resolution', 'visual issue', 'domain: language features', 'incompatibility', 'domain: nodejs', 'vscode internal', 'keyboard input', 'domain:ui', 'ux improvement', 'path issue', 'installation failure', 'go packages', 'domain: gopls', 'go lang', 'go/build', 'module management', 'language spec', 'constants', 'library linking', 'new renderer', 'domain:cli', 'const expr', 'domain language features', 'ui behavior', 'numerical computation', 'performance improvement', 'domain:documentation', 'java features', 'async execution', 'spring expression language', 'vscode insiders', 'domain: ui', 'html generation', 'styles', 'domain: go', 'code formatting', 'go/cmd', 'invalid input', 'cmd compile', 'domain: compiler', 'language compiler', 'linking issue', 'development tool', 'domain:package management', 'domain: package management', 'type: issue', 'type aliasing', 'string manipulation', 'core library', 'library support', 'constant evaluation', 'application crash', 'build configuration', 'accuracy issue', 'topic: optimization', 'math operations', 'category: documentation', 'directory', 'bitcoin core', 'type:dependency upgrade', 'reference guide', 'core functionalities', 'type: bugfix', 'java application', 'spring aot', 'data processing', 'directory management', 'programming language agnostic', 'sql optimization', 'editor functionality', 'editor behavior', 'keyboard navigation', 'domain: user interface', 'keyboard shortcut', 'domain:editor', 'extension integration', 'keyboard interaction', 'terminal feature', 'slow performance', 'domain:performance', 'development mode', 'domain language server', 'constant expression', 'editor plugin', 'domain: language server', 'domain: language', 'protocol support', 'type/issue', 'domain/go tools', 'type/breaking change', 'cpu architecture', 'domain/tools', 'topic: compatibility', 'javascript error', 'text component', 'java exception', 'deno configuration', 'domain: dependency management', 'deno feature', 'domain: deno', 'cli options', 'cli command', 'conditional compilation', 'language issue', 'compiler issues', 'library features', 'numeric types', 'attribute issue', 'invalid code', 'const generic', 'compiler bugs', 'domain: infrastructure', 'domain compiler', 'compiler features', 'compiler implementation', 'function definition', 'trait resolution', 'type:upgrade', 'domain:infrastructure', 'component rendering', 'jit compiler', 'containers', 'cuda issue', 'dynamic compiler', 'math operation', 'model optimization', 'custom function', 'cpu performance', 'programming model', 'float precision', 'domain: math', 'functional issue', 'data conversion', 'domain math', 'cross platform issue', 'package configuration', 'relative paths', 'library incompatibility', 'template literal', 'type: refactoring', 'domain:dependencies', 'domain: java', 'domain:build tool', 'domain: spring boot', 'data storage', 'type:refactoring', 'unexpected error', 'internal server error', 'ui customization', 'bean post processor', 'spring features', 'method invocation', 'rich text', 'database performance', 'python ecosystem', 'database management', 'domain:editing', 'configuration files', 'default values', 'domain: user experience', 'vscode server', 'error messages', 'language service', 'vscode insider', 'vscode configuration', 'domain: api design', 'vscode feature', 'ux feedback', 'visual studio code', 'domain:javascript', 'domain: editor', 'markdown support', 'category:feature request', 'async operation', 'domain: terminal', 'vscode ide', 'default configuration', 'css styles', 'ui appearance', 'domain:go language', 'domain:go tools', 'domain:programming language', 'evaluation error', 'http protocol', 'net/http2', 'project maintenance', 'documentation inconsistency', 'process execution', 'go/cmd/go', 'go c interop', 'domain/go standard library', 'protocol extension', 'compiler optimizations', 'sync package', 'go project', 'go ide', 'domain: go tools', 'path variable', 'library proposal', 'cpu instruction', 'assembly language', 'topic/documentation', 'language specification', 'command failure', 'domain/language', 'go programming language', 'lock management', 'compiler assertion', 'os agnostic', 'type: error message', 'topic:deprecation', 'topic: configuration', 'kind/regression', 'development tools', 'topic: api', 'domain: v8', 'web apis', 'category: api', 'type: deprecation', 'topic: api change', 'env variable', 'file loading', 'runtime issues', 'domain: deno cli', 'script execution', 'deno compiler', 'async local storage', 'fetch api', 'async iterable', 'type: api change', 'deno lock', 'command line args', 'const unsafety', 'feature bug', 'compilation bug', 'type system bug', 'compiler interpretation', 'compiler configuration', 'compile failure', 'documentation generation', 'trait impl conflict', 'windows specific', 'const features', 'logical error', 'mismatch', 'invalid syntax', 'invalid program', 'type traits', 'setup issue', 'linking error', 'binary compatibility', 'domain const generics', 'generic parameter', 'compilation failure', 'fix it', 'type parameter issue', 'linker problem', 'generic issue', 'library problem', 'type alias impl trait', 'function arguments', 'generic const items', 'unimplemented feature', 'user interfaces', 'issue type/bug', 'domain/language features', 'type checking bug', 'core libraries', 'compiler verification', 'type unification', 'code readability', 'invalid usage', 'trait specialization', 'std lib', 'terminal features', 'type: improvement', 'type:documentation', 'topic:build', 'topic:optimization', 'domain:html', 'topic:documentation', 'domain: cli', 'category feature request', 'macos support', 'category: compilation', 'data type conversion', 'math accuracy', 'domain cuda', 'multiplication', 'cpu optimization', 'third party dependency', 'cudagraph', 'data type mismatch', 'type: optimization', 'numerical issues', 'c++ related', 'topic:performance', 'numerical computing', 'domain: docker', 'domain: optimization', 'domain: cuda', 'user guide', 'layout issue', 'numerical issue', 'styling issue', 'core development', 'type:issue', 'configure script', 'domain:network', 'domain: network', 'user interaction', 'production build', 'bug fix request', 'extension support', 'configuration option', 'multilingual support', 'microservices', 'bug fix version upgrade', 'release note', 'domain: build tool', 'deprecated feature', 'deprecated api', 'oci image', 'java ecosystem', 'process improvement', 'topic:workflow', 'topic:dependency management', 'third party libraries', 'feature requests', 'type:release note', 'java technology', 'spring boot 3', 'reference docs', 'minor issue', 'client upgrade', 'starter metadata', 'spring modules', 'spring properties', 'container management', 'spring extensions', 'oci', 'optimization issue', 'api keys', 'type casting', 'directory operations', 'user input', 'topic:configuration', 'uri handling', 'url encoding', 'scheduled task', 'bean registration', 'method argument resolution', 'string processing', 'category:refactoring', 'assembly disassembly', 'data formatting', 'function id', 'language agnostic', 'software engineering', 'disassembly issue', 'low level programming', 'general improvement', 'domain: networking', 'gui improvement', 'sync failure', 'cloud sync', 'package build', 'type instability', 'library metadata', 'python support', 'python library', 'build problem', 'platform agnostic', 'core functionality', 'path management', 'programming error', 'c standard', 'language standard', 'database engine', 'table management', 'sql functionality', 'calculation', 'sql engine', 'invalid data', 'query issue', 'sql execution', 'minor bug', 'developer tools', 'language status', 'locale issue', 'vscode marketplace', 'microsoft', 'focus issue', 'feature change', 'editor navigation', 'editor ui', 'template expansion', 'metadata issue', 'argument parsing', 'thread local storage', 'x/sys', 'gccgo', 'go release', 'extension handling', 'type switch', 'type aliases', 'build mode', 'command output', 'formatting issue', 'standard compliance', 'url issue', 'javascript core', 'text layout', 'file reader', 'autolink', 'doc bug', 'web platform', 'nodejs core', 'es module', 'local files', 'deno check', 'url validation', 'javascript issue', 'deno add', 'relative path', 'api mismatch', 'const trait impl', 'associated type', 'cpu detection', 'edition compatibility', 't lang', 'a trait objects', 'generic constants', 'generic parameters', 'lang team', 'library compilation', 'trait associated types', 'generic type', 'trait alias', 'const expression', 'command line arguments', 'build std', 'type change', 'read impl', 'compiler diagnostic', 'text scaling', 'async issue', 'native fetch', 'form validation', 'input output mapping', 'mutable mapping', 'workflow management', 'floating point exception', 'data dependency', 'device specific', 'device agnostic', 'shared library', 'nvidia', 'python package', 'cross version compatibility', 'warning messages', 'key error', 'cyclic dependency', 'gpu issue', 'type hint issue', 'device compatibility', 'data dependent', 'path issues', 'numerical precision', 'layout mismatch', 'public api', 'optimizations', 'cuda error', 'build tool configuration', 'build output', 'css rendering', 'types issue', 'build test', 'interop', 'focus management', 'api version', 'missing dependency', 'client connection', 'database integration', 'spring data r2dbc', 'release candidate', 'subprojects', 'spring boot upgrade', 'ssl configuration', 'default value', 'transitive dependency', 'docker image', 'sql server', 'upgrade required', 'containerd', 'spring config', 'mapping issue', 'template evaluation', 'key bindings', 'hyperlinks', 'shell command', 'terminal emulator', 'connect protocol', 'async handling', 'async executor', 'uri parsing', 'metadata reading', 'method handler', 'scheduled tasks', 'api client', 'function invocation', 'bean discovery', 'async requests', 'uri resolution', 'http connection', 'build time', 'request response', 'spring webclient', 'core framework', 'key binding', 'gui issue', 'note editing', 'multiple window support', 'tables', 'markdown rendering', 'circular dependencies', 'type constraint', 'abstract types', 'configuration file', 'python environment', 'universal locking', 'file input', 'default state', 'number input', 'input component', 'core engine', 'integer type', 'incompatible types', 'configuration parsing', 'language extension', 'symbolic link', 'cpu feature detection', 'api evolution', 'lock mechanism', 'design change', 'extension system', 'ui issues', 'config management', 'editor features', 'backward compatible', 'lang item', 'gpu rendering', 'ui suggestion', 'api suggestion', 'spring bean', 'lang server', 'async test', 'ui look and feel', 'upstream dependency', 'internal package', 'api compliance', 'error suggestion', 'ui upgrade', 'string comparison', 'ui request', 'gpu acceleration', 'ui change', 'suggest fix', 'generic issues', 'compile fail', 'impl', 'cuda unsupported', 'binding issue', 'backwards compatibility', 'keyboard issue', 'font size', 'fix needed', 'input box', 'os user', 'doc request', 'golang go', 'recursive types', 'http server', 'asynchronous', 'const context', 'input processing', 'function compilation', 'dtype issue', 'function missing', 'gcc compatibility', 'documentation needed', 'glibc compatibility', 'container bean', 'api response', 'bean injection', 'bean creation', 'bean overriding', 'type compatibility', 'osx', 'metadata parsing', 'python version conflict', 'sql analysis', 'issue report', 'filesystem error', 'extension bug', 'performance issues', 'quick input', 'documentation suggestion', 'dev container', 'ui glitch', 'rendering issues', 'production mode', 'doc suggestion', 'method call', 'external link', 'os issue', 'doc link', 'os interface', 'sql package', 'generic code', 'version compatibility', 'version upgrade', 'os issues', 'layout problem', 'image rendering', 'ui bugs', 'architecture compatibility', 'shell script', 'html formatting', 'url pattern', 'async io', 'os incompatibility', 'path processing', 'async recursion', 'lang attribute', 'upgrade regression', 'trait method', 'functional bug', 'english', 'command suggestion', 'template compiler', 'mathematical function', 'device type', 'mathematical operations', 'cpp compile error', 'optimizer state', 'api use', 'cpp issue', 'jvm tool mode', 'build pack', 'platform dependencies', 'oracle jdk', 'binding errors', 'dependencies upgrade', 'maven integration', 'dependencies update', 'connection details', 'uri validation', 'environment configuration', 'springboot', 'framework spring boot', 'spring boot maven plugin', 'sql es', 'sql parsing', 'upgrade issues', 'math error', 'handler mapping', 'webtestclient', 'spring boot compatibility', 'url handlers', 'spring mockito', 'uri template', 'http method', 'executor service', 'filesystem issue', 'python version mismatch', 'data type management', 'floating point issue', 'documentation request', 'table issue', 'schedule issue', 'core function', 'float arithmetic', 'optional dependency', 'platform issue', 'metadata management', 'docker integration', 'environment management', 'text field', 'br tool', 'query hang', 'query processing', 'key mapping']"
testing,1629,testing,1629,4695,"['test failure', 'testing', 'test', 'integration test', 'flaky test', 'test framework', 'integration tests', 'test failures', 'test infrastructure', 'ci test failure', 'test flaky', 'test suite', 'tests', 'ci failure', 'unittest', 'area/testing', 'test improvement', 'test missing', 'go test', 'test related', 'ui tests', 'test enhancement', 'a code coverage', 'unit testing', 'system tests', 'unit tests', 'test issue', 'integrationtests', 'integrationtest', 'ci test', 'unit test', 'test results', 'test coverage', 'runtime test', 'test case', 'test execution', 'unit test failure', 'test strategy', 'it test', 'test integration', 'ci build', 'test flakiness', 'integration testing', 'ci issue', 'domain: testing', 'domain:testing', 'testing issue', 'testing failure', 'area: testing', 'test/failure', 'domain/testing', 'topic: testing', 'go/test', 'area testing', 'testing infrastructure', 'ui test', 'code coverage', 'test flake', 'test logic', 'test environment', 'system test', 'integ test', 'integration test failure', 'ci update', 'unittest failure', 'testability', 'flaky tests', 'test bug', 'test configuration', 'ci system tests', 'profile integ tests', 'test context']"
ci cd,18,ci,744,789,"['ci', 'ci cd', 'ci/cd', 'cds', 'topic: ci', 'category:ci', 'cd']"
safety,30,security,819,879,"['security', 'safety', 'unsafe', 'f unsafe', 'unsafety', 'protection']"
feature regression,4,regression,441,447,"['regression', 'visual regression', 'feature regression']"
esql,252,esql,252,252,['esql']
gopls,339,gopls,339,339,['gopls']
log,14,logging,463,514,"['logging', 'log4j2', 'structured logging', 'log4j', 'general log', 'log', 'log management', 'log analysis', 'log level']"
plugin support,3,plugin,269,304,"['plugin', 'plugins', 'plugin integration', 'plugin interaction', 'plugin compatibility', 'plugin configuration', 'plugin system', 'plugin management', 'plugin support']"
gradle,295,gradle,295,337,"['gradle', 'gradle plugin', 'domain:gradle']"
