representative_label_by_embedding,count,representative_label_by_count,count,total_count,cluster
bug,14650,bug,14650,14780,"['bug', 'rustc bug', 'type: bug', 'bug fix', 'feature bug', 'bug introduction', 'decompiler bug', 'ghidra bug']"
enhancement,1655,enhancement,1655,1757,"['enhancement', 'type: enhancement']"
documentation,2591,documentation,2591,2810,"['documentation', 'docs', 'pytorch docs', 'type: documentation', 'domain: documentation', 'category: documentation', 'documentation inconsistency', 'documentation generation', 'documentation needed']"
dependency update,562,dependency update,562,564,"['dependency update', 'dependencies update']"
test failure,1026,test failure,1026,1772,"['test failure', 'assertion failure', 'test failures', 'ci test failure', 'ci failure', 'startup failure', 'failure', 'unit test failure', 'testing failure', 'guard failure', 'intermittent failure', 'integration test failure', 'unittest failure']"
svelte compiler,9,compiler,1145,2355,"['compiler', 'compiler error', 'compiler bug', 'compiler internal', 'compiler warning', 'f compiler', 'f compiler error', 'compiler lint', 't compiler', 'compiler suggestion', 'svelte compiler', 'compiler optimization', 'compiler errors', 'compiler rt', 'compiler feedback', 'compiler frontend', 'compiler panic', 'compiler builtins', 'a compiler', 'angular compiler', 'area compiler', 'compiler issue', 'compiler diagnostics', 'compiler intrinsic', 't compiler error', 'f compiler errors', 'f compiler internal', 'compiler warnings', 'compiler design', 'c compiler', 'aot compiler', 'pytorch compiler', 'compiler specific', 'compiler internal error', 'compiler interaction', 'internal compiler error', 'compiler regression', 'compiler message', 'compiler feature', 'torch compiler', 'java compiler', 'rust compiler', 'go compiler', 'rustc compiler', 'compiler flags', 'domain: compiler', 'language compiler', 'compiler issues', 'compiler bugs', 'compiler features', 'compiler implementation', 'jit compiler', 'dynamic compiler', 'compiler optimizations', 'compiler assertion', 'deno compiler', 'compiler interpretation', 'compiler configuration', 'compiler verification', 'compiler diagnostic', 'template compiler']"
feature request,2225,feature request,2225,2282,"['feature request', 'pytorch feature request', 'type feature request', 'support request', 'type: feature request', 'category feature request', 'feature requests']"
ui a11y,3,ui,1340,1452,"['ui', 'ui ux', 'ui enhancement', 'vscode ui', 'ui feedback', 'a rustdoc ui', 'ui design', 'ui interaction', 'ui feature', 'domain: ui', 'ui customization', 'ui appearance', 'editor ui', 'ui automation', 'ui preview', 'ui suggestion', 'ui a11y', 'ui glitch']"
build,895,build,895,1082,"['build', 'build tools', 'build tool', 'build tooling', 'release build', 'aux build', 'ci build', 'build backend', 'incremental build', 'go build', 'domain: build', 'hugo build', 'domain: build tool', 'insider build', 'canary build', 'mir build', 'build tool configuration', 'build pack']"
api,829,api,829,1329,"['api', 'extension api', 'api design', 'pytorch api', 'api proposal', 'rest api', 'node api', 'api documentation', 'api clarity', 'api compatibility', 'api enhancement', 'api reference', 'api deprecation', 'api improvement', 'api docs', 'uv api', 'api usage', 'api breaking', 'api consistency', 'api request', 'api review', 'torch api', 'api removal', 'next.js api', 'api doc', 'api testing', 'internal api', 'v8 api', 'unstable api', 'api stability', 'functional api', 'api upgrade', 'api access', 'api integration', 'observer api', 'client api', 'pd api', 'domain: api', 'vscode api', 'api exposure', 'labels: api', 'elasticsearch api', 'domain: api design', 'topic: api', 'category: api', 'deprecated api', 'public api', 'api version', 'api client', 'api evolution', 'api suggestion', 'api compliance', 'api response', 'api use', 'servlet api']"
performance,1955,performance,1955,2149,"['performance', 'build performance', 'performance regression', 'runtime performance', 'efficiency', 'startup performance', 'performance issue', 'performance optimization', 'domain: performance', 'performance improvement', 'slow performance', 'performance monitoring', 'performance metrics', 'topic performance', 'performance issues']"
testing,1629,testing,1629,2163,"['testing', 'integration test', 'integration tests', 'test infrastructure', 'test integration', 'integration testing', 'domain: testing', 'fuzz testing', 'area: testing', 'topic: testing', 'testing infrastructure', 'randomized testing']"
ci,744,ci,744,752,"['ci', 'topic: ci', 'domain: ci']"
runtime,626,runtime,626,656,"['runtime', 'runtime panic', 'runtime hints', 'deno runtime', 'domain: runtime']"
dependency upgrade,971,dependency upgrade,971,1035,"['dependency upgrade', 'framework upgrade', 'library upgrade', 'dependencies upgrade']"
test flakiness,3,test,546,836,"['test', 'flaky test', 'test runner', 'test flaky', 'test suite', 'tests', 'pytorch test', 'smoke test', 'test infra', 'unit testing', 'unit tests', 'ci test', 'unit test', 'it test', 'test flakiness', 'test flake', 'functional test', 'build test', 'functional tests', 'integ test', 'internal tests', 'flaky tests', 'metrics test']"
security,819,security,819,837,"['security', 'domain: security', 'security issue', 'security vulnerability']"
cli,420,cli,420,450,"['cli', 'cli usage', 'fzf cli', 'deno cli', 'area: cli', 'domain: deno cli', 'domain: cli']"
regression,441,regression,441,447,"['regression', 'feature regression', 'regression test']"
editor,593,editor,593,630,"['editor', 'diff editor', 'code editor', 'editor feature', 'monaco editor', 'editor functionality', 'editor plugin', 'domain: editor', 'editor features']"
database,1070,database,1070,1103,"['database', 'data migration', 'database migration', 'ti database', 'domain database', 'database engine', 'database integration', 'maria db']"
svelte feature,2,feature,440,621,"['feature', 'features', 'unstable features', 'ide features', 'feature discussion', 'ide feature', 'unstable feature', 'feature proposal', 'feature gate', 'experimental feature', 'feature detection', 'vscode features', 'type: feature', 'deno feature', 'hugo features', 'vscode feature', 'experimental features', 'unimplemented feature', 'domain/language features', 'pytorch feature', 'svelte features', 'svelte feature', 'fzf features', 'ghidra feature', 'feature tracking']"
